"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.57","51.18","BANFF","3050520","1991-01-01","1991","01","01","","-17.5","","-26.0","","-21.8","","39.8","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-02","1991","01","02","","-13.0","","-27.5","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-03","1991","01","03","","-18.0","","-31.5","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-04","1991","01","04","","-15.5","","-30.0","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-05","1991","01","05","","-19.0","","-28.0","","-23.5","","41.5","","0.0","","0.0","","0.0","T","0.0","T","42","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-06","1991","01","06","","-17.5","","-33.0","","-25.3","","43.3","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-07","1991","01","07","","-17.0","","-20.0","","-18.5","","36.5","","0.0","","0.0","","1.4","","1.4","","42","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-08","1991","01","08","","-17.0","","-26.0","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-09","1991","01","09","","-9.5","","-23.5","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-10","1991","01","10","","-3.5","","-11.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-11","1991","01","11","","0.0","","-9.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-12","1991","01","12","","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","39","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-13","1991","01","13","","2.5","","0.0","","1.3","","16.7","","0.0","","0.0","","1.8","","1.8","","38","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-14","1991","01","14","","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-15","1991","01","15","","2.0","","-4.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-16","1991","01","16","","2.5","","-5.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-17","1991","01","17","","5.5","","-2.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-18","1991","01","18","","6.0","","-2.0","","2.0","","16.0","","0.0","","0.0","","1.0","","1.0","","34","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-19","1991","01","19","","-3.5","","-14.5","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-20","1991","01","20","","-3.0","","-15.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-21","1991","01","21","","3.0","","-11.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-22","1991","01","22","","-1.0","","-14.0","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-23","1991","01","23","","-7.0","","-19.5","","-13.3","","31.3","","0.0","","0.0","","0.4","","0.4","","32","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-24","1991","01","24","","-5.5","","-12.0","","-8.8","","26.8","","0.0","","0.0","","1.0","","1.0","","32","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-25","1991","01","25","","-5.0","","-18.0","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-26","1991","01","26","","-4.5","","-14.5","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-27","1991","01","27","","-3.0","","-8.5","","-5.8","","23.8","","0.0","","0.0","","4.8","","4.8","","32","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-28","1991","01","28","","-12.0","","-18.5","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-29","1991","01","29","","-6.5","","-18.0","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-30","1991","01","30","","-4.0","","-11.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-115.57","51.18","BANFF","3050520","1991-01-31","1991","01","31","","4.0","","-6.5","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-01","1991","02","01","","8.0","","0.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-02","1991","02","02","","7.0","","4.0","","5.5","","12.5","","0.0","","0.0","T","0.4","","0.4","","28","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-03","1991","02","03","","5.5","","1.0","","3.3","","14.7","","0.0","","0.0","","0.2","","0.2","","26","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-04","1991","02","04","","8.5","","2.0","","5.3","","12.7","","0.0","","0.4","","0.0","T","0.4","","24","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-05","1991","02","05","","6.0","","2.0","","4.0","","14.0","","0.0","","1.0","","0.0","T","1.0","","24","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-06","1991","02","06","","7.5","","-7.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-07","1991","02","07","","8.0","","2.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-08","1991","02","08","","8.0","","1.5","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-09","1991","02","09","","8.5","","-0.5","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-10","1991","02","10","","7.5","","-1.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-11","1991","02","11","","5.0","","-3.0","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-12","1991","02","12","","5.5","","-1.0","","2.3","","15.7","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-13","1991","02","13","","6.0","","0.5","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-14","1991","02","14","","6.5","","-1.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-15","1991","02","15","","9.0","","1.0","","5.0","","13.0","","0.0","","0.6","","0.0","","0.6","","4","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-16","1991","02","16","","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-17","1991","02","17","","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.2","","0.2","","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-18","1991","02","18","","3.0","","-5.0","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-19","1991","02","19","","5.0","","-1.0","","2.0","","16.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-20","1991","02","20","","3.5","","0.0","","1.8","","16.2","","0.0","","0.0","","1.0","","1.0","","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-21","1991","02","21","","3.0","","-3.5","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","1","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-22","1991","02","22","","4.0","","-6.0","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-23","1991","02","23","","3.5","","-8.5","","-2.5","","20.5","","0.0","","0.0","","0.8","","0.4","","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-24","1991","02","24","","5.5","","-10.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-25","1991","02","25","","6.0","","-10.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-26","1991","02","26","","8.5","","-8.0","","0.3","","17.7","","0.0","","0.0","","0.4","","0.2","","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-27","1991","02","27","","3.5","","-3.0","","0.3","","17.7","","0.0","","0.0","","9.4","","5.8","","0","T","","","",""
"-115.57","51.18","BANFF","3050520","1991-02-28","1991","02","28","","-9.0","","-15.0","","-12.0","","30.0","","0.0","","0.0","","2.0","","1.0","","8","","","","",""
"-115.57","51.18","BANFF","3050520","1991-03-01","1991","03","01","","-15.0","","-22.0","","-18.5","","36.5","","0.0","","0.0","","2.4","","1.4","","8","","","","",""
"-115.57","51.18","BANFF","3050520","1991-03-02","1991","03","02","","-6.0","","-24.0","","-15.0","","33.0","","0.0","","0.0","","10.4","","5.8","","9","","","","",""
"-115.57","51.18","BANFF","3050520","1991-03-03","1991","03","03","","-8.5","","-14.5","","-11.5","","29.5","","0.0","","0.0","","13.0","","8.2","","17","","","","",""
"-115.57","51.18","BANFF","3050520","1991-03-04","1991","03","04","","-4.5","","-19.0","","-11.8","","29.8","","0.0","","0.0","","5.6","","4.6","","28","","","","",""
"-115.57","51.18","BANFF","3050520","1991-03-05","1991","03","05","","-1.0","","-17.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-115.57","51.18","BANFF","3050520","1991-03-06","1991","03","06","","-1.0","","-12.0","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","26","","","","",""
"-115.57","51.18","BANFF","3050520","1991-03-07","1991","03","07","","0.5","","-5.5","","-2.5","","20.5","","0.0","","0.0","","0.0","T","0.0","T","25","","","","",""
