Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-115.57,51.18,BANFF,3050520,1995-01-01,1995,1,1,,-10.5,,-22,,-16.3,,34.3,,0,,0,,0,,0,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-01-02,1995,1,2,,-14,,-32.5,,-23.3,,41.3,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-03,1995,1,3,,-11,,-32.5,,-21.8,,39.8,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-04,1995,1,4,,-8,,-25,,-16.5,,34.5,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-05,1995,1,5,,-11,,-27,,-19,,37,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-06,1995,1,6,,-9.5,,-28.5,,-19,,37,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-07,1995,1,7,,-11,,-21,,-16,,34,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-08,1995,1,8,,-8,,-20.5,,-14.3,,32.3,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-09,1995,1,9,,-3,,-20,,-11.5,,29.5,,0,,0,,2.6,,1.8,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-10,1995,1,10,,1,,-9,,-4,,22,,0,,0,,0.8,,0.6,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-01-11,1995,1,11,,-0.5,,-3,,-1.8,,19.8,,0,,0,,0,T,0,T,20,,,,,
-115.57,51.18,BANFF,3050520,1995-01-12,1995,1,12,,-1,,-5.5,,-3.3,,21.3,,0,,0,,0,,0,,19,,,,,
-115.57,51.18,BANFF,3050520,1995-01-13,1995,1,13,,-1.5,,-9.5,,-5.5,,23.5,,0,,0,,0.6,,0.4,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-14,1995,1,14,,-2,,-6.5,,-4.3,,22.3,,0,,0,,0.6,,0.4,,19,,,,,
-115.57,51.18,BANFF,3050520,1995-01-15,1995,1,15,,0,,-8,,-4,,22,,0,,0,,0.8,,0.6,,19,,,,,
-115.57,51.18,BANFF,3050520,1995-01-16,1995,1,16,,-2,,-9.5,,-5.8,,23.8,,0,,0,,0,T,0,T,19,,,,,
-115.57,51.18,BANFF,3050520,1995-01-17,1995,1,17,,-1,,-12,,-6.5,,24.5,,0,,0,,0,T,0,T,19,,,,,
-115.57,51.18,BANFF,3050520,1995-01-18,1995,1,18,,0,,-12,,-6,,24,,0,,0,,0,T,0,T,19,,,,,
-115.57,51.18,BANFF,3050520,1995-01-19,1995,1,19,,1.5,,-5,,-1.8,,19.8,,0,,0,,0,,0,,19,,,,,
-115.57,51.18,BANFF,3050520,1995-01-20,1995,1,20,,-3,,-15,,-9,,27,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-21,1995,1,21,,-2,,-16.5,,-9.3,,27.3,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-22,1995,1,22,,-3,,-20,,-11.5,,29.5,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-23,1995,1,23,,-3,,-20,,-11.5,,29.5,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-24,1995,1,24,,-4,,-20,,-12,,30,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-25,1995,1,25,,-2,,-20,,-11,,29,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-26,1995,1,26,,0,,-14,,-7,,25,,0,,0,,0,T,0,T,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-27,1995,1,27,,2.5,,-13,,-5.3,,23.3,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-28,1995,1,28,,0,,-18,,-9,,27,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-29,1995,1,29,,6,,-18,,-6,,24,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-30,1995,1,30,,3.5,,-8,,-2.3,,20.3,,0,,0,,0,,0,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-01-31,1995,1,31,,6.5,,-3.5,,1.5,,16.5,,0,,0.8,,0,,0.8,,18,,,,,
-115.57,51.18,BANFF,3050520,1995-02-01,1995,2,1,,6.5,,1.5,,4,,14,,0,,0,,1,,0.8,,13,,,,,
-115.57,51.18,BANFF,3050520,1995-02-02,1995,2,2,,5,,-0.5,,2.3,,15.7,,0,,0,,1,,0.8,,12,,,,,
-115.57,51.18,BANFF,3050520,1995-02-03,1995,2,3,,3.5,,-6,,-1.3,,19.3,,0,,0,,0.8,,0.6,,12,,,,,
-115.57,51.18,BANFF,3050520,1995-02-04,1995,2,4,,4.5,,-4,,0.3,,17.7,,0,,0,,0,,0,,12,,,,,
-115.57,51.18,BANFF,3050520,1995-02-05,1995,2,5,,3.5,,-12.5,,-4.5,,22.5,,0,,0,,0,,0,,11,,,,,
-115.57,51.18,BANFF,3050520,1995-02-06,1995,2,6,,5,,-12.5,,-3.8,,21.8,,0,,2,,10,,12,,10,,,,,
-115.57,51.18,BANFF,3050520,1995-02-07,1995,2,7,,1,,-2,,-0.5,,18.5,,0,,0,,0.6,,0.6,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-02-08,1995,2,8,,0,,-10.5,,-5.3,,23.3,,0,,0,,0,,0,,19,,,,,
-115.57,51.18,BANFF,3050520,1995-02-09,1995,2,9,,3,,-10.5,,-3.8,,21.8,,0,,0,,1,,0.6,,19,,,,,
-115.57,51.18,BANFF,3050520,1995-02-10,1995,2,10,,-6,,-13,,-9.5,,27.5,,0,,0,,0,T,0,T,20,,,,,
-115.57,51.18,BANFF,3050520,1995-02-11,1995,2,11,,-9,,-21,,-15,,33,,0,,0,,0,,0,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-02-12,1995,2,12,,-15,,-24,,-19.5,,37.5,,0,,0,,0,,0,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-02-13,1995,2,13,,-13,,-33,,-23,,41,,0,,0,,0,,0,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-02-14,1995,2,14,,-8.5,,-33.5,,-21,,39,,0,,0,,0,,0,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-02-15,1995,2,15,,-6,,-33.5,,-19.8,,37.8,,0,,0,,0,,0,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-02-16,1995,2,16,,-7.5,,-21,,-14.3,,32.3,,0,,0,,4,,3.8,,20,,,,,
-115.57,51.18,BANFF,3050520,1995-02-17,1995,2,17,,0.5,,-15.5,,-7.5,,25.5,,0,,0,,2.4,,2,,24,,,,,
