,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-24.17351531982422,-7.157193660736084,9.568549156188965,28.42401123046875,52.3533821105957,-29.98955726623535,-9.30517292022705,9.23087215423584,30.372188568115234,62.93129348754883,-28.4306640625,-7.08961296081543,11.689846992492676,33.38533401489258,67.27930450439453,-27.822341918945312,-7.256632328033447,11.510275840759277,33.11125183105469,65.30509185791016,-16.61077117919922,-2.564089775085449,13.181755065917969,30.74828338623047,53.2136344909668,-25.793806076049805,-3.7931056022644043,15.949186325073242,38.57991409301758,73.39886474609375
2,AB,-24.89975357055664,-10.370416641235352,4.7558135986328125,20.569948196411133,41.737037658691406,-33.99974822998047,-13.590307235717773,3.354801893234253,22.400432586669922,49.455047607421875,-31.59968376159668,-11.784197807312012,5.776076793670654,26.03899574279785,55.49458312988281,-32.39155960083008,-12.823368072509766,4.34163236618042,23.202354431152344,50.39057159423828,-21.27532958984375,-7.643575668334961,7.201916217803955,20.872034072875977,39.923927307128906,-31.495073318481445,-10.948139190673828,6.593822002410889,25.697265625,53.524261474609375
3,BC,-22.95407485961914,-7.650783061981201,7.182827949523926,23.894702911376953,44.34248733520508,-28.966062545776367,-9.879081726074219,6.438410758972168,23.429441452026367,48.88462829589844,-29.445892333984375,-10.045154571533203,6.655538082122803,25.179201126098633,52.40000534057617,-29.42896842956543,-10.591010093688965,5.490254878997803,23.1539306640625,47.70881652832031,-21.340917587280273,-9.672965049743652,5.058981895446777,18.321928024291992,36.161949157714844,-28.69483184814453,-8.716394424438477,6.975703716278076,24.092132568359375,49.2935791015625
4,MB,-23.110647201538086,-7.304000377655029,7.87229061126709,24.39783477783203,46.01288986206055,-30.08486557006836,-10.7418851852417,5.627161979675293,24.87217140197754,56.61626434326172,-28.141983032226562,-8.166675567626953,8.789177894592285,28.727928161621094,59.080562591552734,-29.97918701171875,-9.837663650512695,7.305565357208252,27.07839584350586,60.153350830078125,-15.632585525512695,-2.863952398300171,11.9091796875,28.422765731811523,48.799110412597656,-27.40926742553711,-6.992367267608643,10.897905349731445,30.973785400390625,61.278419494628906
5,NB,-20.90140151977539,-4.433979034423828,8.824052810668945,22.437744140625,40.63029861450195,-26.3294734954834,-8.497291564941406,7.534695625305176,23.267454147338867,47.121559143066406,-25.25806427001953,-6.807785511016846,7.696905612945557,25.435400009155273,51.548561096191406,-24.04470443725586,-5.342841148376465,10.021693229675293,27.120893478393555,49.99330520629883,-14.31414794921875,-2.761214256286621,10.093830108642578,22.58371353149414,38.41927719116211,-23.576236724853516,-5.435973644256592,10.952685356140137,29.777143478393555,57.52392578125
6,NL,-20.153743743896484,-3.5270016193389893,9.639816284179688,24.092844009399414,42.63886642456055,-26.966794967651367,-9.799437522888184,5.871355056762695,24.247966766357422,51.02012252807617,-25.146499633789062,-6.385648250579834,9.137161254882812,26.024301528930664,53.58228302001953,-23.244983673095703,-5.9811015129089355,9.871834754943848,27.42390251159668,52.20952224731445,-15.887032508850098,-4.04472541809082,9.485897064208984,23.674379348754883,43.11247634887695,-24.97505760192871,-5.534425258636475,10.278761863708496,28.21108055114746,56.48350524902344
7,NT,-23.038537979125977,-6.528294086456299,9.738962173461914,27.06295394897461,51.092491149902344,-28.97093963623047,-8.829416275024414,8.92825698852539,28.16184425354004,56.37751388549805,-28.21101951599121,-7.388286113739014,10.780634880065918,31.16978645324707,63.02562713623047,-27.793506622314453,-7.4440531730651855,10.823359489440918,32.0098762512207,62.54496765136719,-15.390634536743164,-1.3054231405258179,13.558857917785645,30.72987174987793,51.99465560913086,-25.740222930908203,-4.444608688354492,15.015911102294922,36.821224212646484,69.99105834960938
8,NS,-18.030818939208984,-5.625412464141846,6.144882678985596,17.5999698638916,31.74025535583496,-25.154617309570312,-8.319655418395996,4.674532413482666,17.875146865844727,38.2530632019043,-22.539600372314453,-7.447848796844482,5.412878513336182,20.23348617553711,42.71946334838867,-19.62450408935547,-4.9089860916137695,7.102511882781982,21.157447814941406,41.74747085571289,-11.571550369262695,-2.11877179145813,8.398416519165039,19.22101593017578,32.18260955810547,-23.207550048828125,-5.787660598754883,8.128303527832031,22.912715911865234,44.752845764160156
9,NU,-26.815378189086914,-7.5351057052612305,11.9202299118042,34.894248962402344,62.844329833984375,-31.788042068481445,-8.60525894165039,12.923483848571777,37.86689758300781,77.31829833984375,-30.22412872314453,-6.231428146362305,15.39442253112793,40.964534759521484,81.77487182617188,-29.615707397460938,-6.971058368682861,14.61982250213623,39.9207878112793,78.1840591430664,-17.24811553955078,-1.3664826154708862,16.90895652770996,38.339935302734375,65.8751449584961,-25.924562454223633,-1.353811502456665,21.742450714111328,49.15035629272461,91.59366607666016
10,ON,-24.193832397460938,-9.572859764099121,4.652842044830322,20.3704833984375,39.706417083740234,-29.784738540649414,-11.141458511352539,5.379334449768066,24.740568161010742,54.12091064453125,-27.376468658447266,-8.314523696899414,8.474442481994629,27.730873107910156,57.595237731933594,-25.668161392211914,-7.080031871795654,9.229806900024414,28.446041107177734,58.58968734741211,-15.650370597839355,-4.139798164367676,9.25268840789795,25.4826717376709,43.402183532714844,-25.106840133666992,-5.391961574554443,12.482824325561523,32.42389678955078,64.66230010986328
