,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-29.306941986083984,-12.541234970092773,3.395095109939575,21.117687225341797,45.87372589111328,-38.6261100769043,-16.357574462890625,1.6808807849884033,21.593700408935547,52.92072296142578,-37.5477294921875,-14.972710609436035,3.6738791465759277,24.397844314575195,56.839576721191406,-36.4235725402832,-14.63792610168457,4.073727130889893,25.14197540283203,58.147640228271484,-23.006793975830078,-7.744260787963867,8.091983795166016,25.79302215576172,48.923274993896484,-37.63163375854492,-14.585805892944336,4.589828968048096,26.448713302612305,61.98948669433594
2,AB,-28.623104095458984,-12.432767868041992,3.3062245845794678,20.386857986450195,42.89925765991211,-47.355865478515625,-21.0175724029541,-1.7682181596755981,18.798954010009766,50.11264419555664,-46.17976379394531,-20.661483764648438,-1.390685796737671,19.861209869384766,52.42981719970703,-50.72425079345703,-26.539278030395508,-7.519949436187744,12.564372062683105,42.4928092956543,-24.953685760498047,-13.316164016723633,-0.7217554450035095,12.603549003601074,29.632587432861328,-50.4603157043457,-26.971887588500977,-7.813036918640137,13.244022369384766,46.55130386352539
3,BC,-29.650249481201172,-12.836570739746094,2.6193156242370605,20.11772918701172,44.29822540283203,-43.8870849609375,-20.922271728515625,-1.276705026626587,20.50711441040039,55.206268310546875,-43.48400115966797,-19.739269256591797,-0.5156266093254089,20.326948165893555,53.069908142089844,-47.7112922668457,-24.90269660949707,-6.3882856369018555,14.059903144836426,45.69071960449219,-27.244670867919922,-13.761905670166016,0.02811712957918644,14.807164192199707,32.3221435546875,-46.959075927734375,-25.39768409729004,-6.517615795135498,14.43748950958252,48.31780242919922
4,MB,-28.55364227294922,-12.337037086486816,3.547412633895874,21.11881446838379,43.68120574951172,-46.32618713378906,-21.657636642456055,-3.162123680114746,16.8697452545166,48.75129699707031,-44.90727996826172,-21.799009323120117,-3.6580650806427,16.81133270263672,47.10630798339844,-48.9098014831543,-25.978452682495117,-7.284244060516357,13.498411178588867,46.1557502746582,-27.290023803710938,-13.387874603271484,1.189016580581665,17.19495391845703,35.33689880371094,-51.96385955810547,-27.480010986328125,-7.7845845222473145,14.040145874023438,45.937782287597656
5,NB,-22.10927963256836,-8.238200187683105,5.040018558502197,20.493057250976562,41.24812698364258,-30.202301025390625,-13.718207359313965,0.9983422160148621,17.268457412719727,45.29417419433594,-30.631393432617188,-11.98625373840332,3.55950665473938,20.472084045410156,47.624412536621094,-32.38637161254883,-14.425454139709473,1.410630464553833,17.674528121948242,41.983036041259766,-23.481950759887695,-12.452363014221191,0.09438544511795044,14.827200889587402,30.551807403564453,-32.10499572753906,-12.759346961975098,1.912985920906067,18.000917434692383,44.0490837097168
6,NL,-22.027002334594727,-8.854981422424316,3.6154251098632812,16.706928253173828,33.791259765625,-28.10568618774414,-10.500189781188965,3.66333270072937,18.650619506835938,41.957916259765625,-27.519283294677734,-10.307014465332031,3.522974967956543,19.197296142578125,43.1962890625,-27.8593692779541,-11.547675132751465,3.084456443786621,19.01055335998535,42.39591979980469,-19.834436416625977,-8.413037300109863,4.34830904006958,16.49357795715332,31.62300682067871,-28.121002197265625,-10.557754516601562,4.189846038818359,19.90998077392578,43.63746643066406
7,NT,-30.21848487854004,-12.896621704101562,3.4840006828308105,22.829444885253906,50.49119567871094,-38.40648651123047,-15.030085563659668,2.854599714279175,22.831085205078125,54.942440032958984,-36.844120025634766,-13.450414657592773,5.612216472625732,26.88606071472168,59.453895568847656,-33.56578826904297,-11.313651084899902,7.721667289733887,29.072216033935547,63.51666259765625,-21.57318878173828,-5.65488862991333,11.2750883102417,31.154260635375977,58.52501678466797,-35.27413558959961,-11.302355766296387,8.32026481628418,30.470067977905273,66.63309478759766
8,NS,-31.01573371887207,-15.312232971191406,0.519183337688446,16.53672218322754,38.812992095947266,-37.35017395019531,-18.831321716308594,-1.7583633661270142,17.4078369140625,46.1314697265625,-38.283199310302734,-17.107585906982422,-0.5291891694068909,18.1773624420166,47.49607849121094,-37.794681549072266,-19.179283142089844,-1.1960945129394531,17.57525634765625,49.16262435913086,-32.75929641723633,-18.108495712280273,-4.386274814605713,13.671283721923828,31.592693328857422,-41.40092468261719,-20.749238967895508,-3.846015453338623,14.702604293823242,42.43339157104492
9,NU,-31.497671127319336,-13.820818901062012,3.2295663356781006,22.094961166381836,49.99088668823242,-38.27823257446289,-15.808486938476562,3.1967899799346924,24.841066360473633,58.78271484375,-36.686981201171875,-13.269712448120117,7.152121067047119,30.089893341064453,66.84629821777344,-32.19255447387695,-9.484164237976074,10.978882789611816,34.64301681518555,72.40656280517578,-20.933536529541016,-3.7208242416381836,13.933483123779297,34.04368209838867,61.19111251831055,-33.48830795288086,-9.26944637298584,11.54632568359375,36.21379852294922,78.07084655761719
10,ON,-29.21857452392578,-12.175793647766113,3.530461311340332,20.625383377075195,41.94112777709961,-41.10517120361328,-18.900028228759766,-1.6162381172180176,16.875232696533203,45.4544563293457,-41.15703201293945,-20.20494270324707,-3.5454182624816895,14.822938919067383,42.45454406738281,-43.81201934814453,-22.844575881958008,-5.752561092376709,13.426819801330566,42.23639678955078,-28.76089096069336,-14.075418472290039,1.5395280122756958,17.095718383789062,36.76573181152344,-45.88076400756836,-23.8726863861084,-5.785519123077393,13.670368194580078,42.57024383544922
