,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-27.878305435180664,-11.464000701904297,4.835860252380371,23.11571502685547,47.5317268371582,-33.440086364746094,-12.487554550170898,6.171865463256836,27.56850242614746,62.006168365478516,-30.310514450073242,-7.28201961517334,12.910534858703613,36.26441955566406,74.24728393554688,-24.59244728088379,-1.2732183933258057,20.248332977294922,45.887290954589844,86.88219451904297,-14.982956886291504,0.7572875618934631,17.66242790222168,37.857688903808594,63.466819763183594,-22.097354888916016,4.106607437133789,28.08085060119629,56.70378112792969,104.19015502929688
2,AB,-27.583181381225586,-11.575602531433105,3.7365920543670654,21.41033172607422,47.41233825683594,-34.36775207519531,-12.781843185424805,6.558822154998779,28.347841262817383,62.529685974121094,-31.59317398071289,-8.36962890625,12.275341033935547,35.99716567993164,74.15278625488281,-30.88085174560547,-7.3872389793396,13.954830169677734,39.95345687866211,79.79437255859375,-19.365922927856445,-4.061625957489014,12.056961059570312,32.26618957519531,60.5919303894043,-27.856565475463867,-2.2410104274749756,21.27178955078125,48.75923156738281,94.15898895263672
3,BC,-23.910335540771484,-9.051864624023438,4.6276984214782715,18.89322853088379,36.992408752441406,-31.42481231689453,-12.042651176452637,4.214213848114014,22.44559669494629,49.0181770324707,-28.000951766967773,-7.051124572753906,9.598374366760254,27.40526580810547,54.87641906738281,-25.849140167236328,-6.595286846160889,10.450760841369629,29.84935188293457,59.53000259399414,-18.475168228149414,-2.455760955810547,11.57232666015625,25.795129776000977,43.40782165527344,-24.397493362426758,-1.7222414016723633,17.1075496673584,38.02083206176758,71.4512710571289
4,MB,-35.266212463378906,-18.258460998535156,-0.16729024052619934,20.148662567138672,50.38730239868164,-38.93490982055664,-16.9688777923584,3.707864284515381,27.531604766845703,65.22579193115234,-36.00270462036133,-11.850859642028809,10.286069869995117,35.84129333496094,76.75135803222656,-31.736345291137695,-5.977038383483887,17.089805603027344,43.49759292602539,84.00164031982422,-24.527942657470703,-9.256081581115723,9.881486892700195,30.71831512451172,56.797203063964844,-34.42852020263672,-7.081157207489014,17.57486343383789,48.560550689697266,99.39867401123047
5,NB,-20.949861526489258,-6.8037028312683105,5.140601634979248,15.747352600097656,29.172637939453125,-27.219501495361328,-10.373038291931152,4.95650053024292,20.333826065063477,45.592437744140625,-25.975187301635742,-6.640119552612305,8.194290161132812,24.92882537841797,50.30875778198242,-23.167659759521484,-4.184086322784424,12.72748851776123,31.041154861450195,54.81351089477539,-12.54043960571289,2.4941327571868896,16.63949203491211,31.91086769104004,49.58856964111328,-20.561033248901367,-1.2135487794876099,14.777922630310059,33.34354019165039,59.47035598754883
6,NL,-20.1362247467041,-6.821762561798096,5.839890003204346,19.303709030151367,37.58837127685547,-27.438777923583984,-10.41493034362793,4.001521587371826,20.17428970336914,45.78228759765625,-24.86142349243164,-6.259609699249268,8.824188232421875,25.76713752746582,51.89276885986328,-20.1337947845459,-1.3620431423187256,14.452038764953613,32.171913146972656,59.43862533569336,-12.469888687133789,2.223494052886963,16.281557083129883,34.670040130615234,53.795936584472656,-17.31865692138672,3.0394444465637207,19.948198318481445,39.56299591064453,68.21161651611328
7,NT,-26.444360733032227,-9.742012977600098,7.136122226715088,25.977291107177734,51.554325103759766,-34.17814254760742,-13.143319129943848,5.9229655265808105,27.48552894592285,63.299339294433594,-31.300254821777344,-7.744187355041504,13.075248718261719,36.772029876708984,76.72991943359375,-25.958940505981445,-2.1626524925231934,20.86029815673828,48.528892517089844,92.31948852539062,-12.644999504089355,2.653578996658325,20.570024490356445,42.968631744384766,72.69340515136719,-24.934274673461914,2.2740416526794434,27.489612579345703,58.51811599731445,111.78457641601562
8,NS,-21.563825607299805,-8.081933975219727,3.734863519668579,15.65617561340332,31.488134384155273,-27.134424209594727,-11.069719314575195,2.6313326358795166,17.3879451751709,41.03773880004883,-24.521183013916016,-7.403753280639648,7.166543960571289,23.293663024902344,45.6096076965332,-24.969873428344727,-6.54518461227417,9.04344654083252,24.81590461730957,49.088321685791016,-16.12612533569336,0.19525845348834991,12.465846061706543,25.97649383544922,42.928688049316406,-24.466514587402344,-6.196531295776367,9.474221229553223,26.870182037353516,51.08042907714844
9,NU,-29.229143142700195,-11.943138122558594,5.483291149139404,25.730628967285156,52.53435134887695,-34.45848846435547,-12.307995796203613,7.5708160400390625,31.053218841552734,70.0301513671875,-31.82101058959961,-7.097805976867676,15.107340812683105,41.54341125488281,86.04134368896484,-23.179485321044922,1.3162338733673096,24.819692611694336,53.690975189208984,101.91388702392578,-12.889700889587402,2.9750165939331055,20.848567962646484,42.74544143676758,70.44860076904297,-19.227344512939453,9.437605857849121,36.3972282409668,68.73699951171875,123.83674621582031
10,ON,-34.18096160888672,-16.221445083618164,-0.06913791596889496,17.17914581298828,39.938446044921875,-36.381683349609375,-15.231937408447266,3.871826410293579,24.98796272277832,57.030731201171875,-31.480607986450195,-9.385992050170898,9.862741470336914,31.609050750732422,62.826419830322266,-27.84762191772461,-3.68475079536438,16.991579055786133,40.890602111816406,75.69183349609375,-20.41460609436035,-4.105407238006592,12.834452629089355,33.22130584716797,56.07084274291992,-27.300140380859375,-2.6612586975097656,19.87993621826172,45.39287567138672,84.49442291259766
