,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-25.70046043395996,-10.070778846740723,5.272058486938477,22.446582794189453,45.340171813964844,-31.607534408569336,-12.407331466674805,4.114073276519775,22.900747299194336,51.60819625854492,-31.741058349609375,-12.620197296142578,3.9189934730529785,22.629352569580078,51.11274719238281,-30.764141082763672,-12.100139617919922,4.193547248840332,22.580074310302734,50.54220199584961,-20.073144912719727,-6.549307823181152,7.546401023864746,22.80670738220215,41.148460388183594,-31.181882858276367,-11.984564781188965,4.457077503204346,23.023067474365234,52.11931610107422
2,AB,-29.138277053833008,-12.191164016723633,3.9427177906036377,23.187299728393555,49.069454193115234,-38.960609436035156,-18.63978385925293,-1.3309303522109985,19.321147918701172,56.89153289794922,-40.05091094970703,-19.049522399902344,-0.8361878991127014,20.492385864257812,55.323944091796875,-38.59933853149414,-18.395418167114258,-0.5186763405799866,20.34982681274414,50.6756591796875,-26.301774978637695,-13.276932716369629,0.6663075089454651,17.183969497680664,39.02249526977539,-38.72712326049805,-18.438053131103516,-0.6296917200088501,20.21576499938965,53.8849983215332
3,BC,-25.466657638549805,-10.483798027038574,2.928837299346924,16.263938903808594,33.43121337890625,-29.5103702545166,-12.254913330078125,2.005648612976074,17.849409103393555,40.65857696533203,-30.282238006591797,-12.127861976623535,2.5686416625976562,17.954544067382812,39.90373611450195,-29.786121368408203,-12.402997970581055,2.337184429168701,17.763469696044922,40.578582763671875,-20.879962921142578,-8.297335624694824,3.0016725063323975,14.635320663452148,28.996631622314453,-29.825477600097656,-11.993959426879883,2.8945109844207764,18.640127182006836,40.0458984375
4,MB,-29.571504592895508,-13.810519218444824,3.2404258251190186,22.215463638305664,47.78807830810547,-40.29085159301758,-19.789142608642578,-0.9330978393554688,21.25783920288086,56.133140563964844,-40.8021125793457,-20.06446647644043,-2.0877695083618164,19.9719295501709,54.87805938720703,-39.40269470214844,-19.456985473632812,-1.1205217838287354,20.111146926879883,53.921085357666016,-25.281187057495117,-13.073991775512695,1.2299555540084839,17.048534393310547,37.92119216918945,-39.64427185058594,-20.226943969726562,-2.2720675468444824,19.000736236572266,54.200355529785156
5,NB,-23.81404685974121,-8.456356048583984,6.746827602386475,22.107759475708008,41.07027816772461,-30.996997833251953,-13.094958305358887,2.51088285446167,20.559694290161133,47.0439338684082,-31.96111297607422,-14.735773086547852,0.35883474349975586,16.79524040222168,41.67059326171875,-30.8940486907959,-13.01596450805664,3.3001444339752197,20.154014587402344,42.850852966308594,-21.83641815185547,-9.547149658203125,3.1292731761932373,16.44107437133789,32.77185821533203,-33.86851501464844,-15.583990097045898,0.08231423795223236,16.295503616333008,43.386234283447266
6,NL,-20.632875442504883,-7.524484634399414,5.310258865356445,19.457630157470703,37.18148422241211,-26.81828498840332,-11.40665054321289,1.6863369941711426,15.901877403259277,37.39984130859375,-27.738805770874023,-11.54356861114502,2.3680219650268555,17.72125244140625,40.00070571899414,-27.438194274902344,-11.545122146606445,2.17429780960083,17.03485679626465,38.48379135131836,-20.773731231689453,-10.428165435791016,0.7215480208396912,11.728914260864258,27.175968170166016,-28.032922744750977,-12.075531005859375,0.7739388346672058,16.24281883239746,38.99496078491211
7,NT,-23.347930908203125,-8.215219497680664,6.458104133605957,23.201038360595703,45.541542053222656,-30.3723087310791,-10.958745002746582,5.613545894622803,24.010847091674805,51.137149810791016,-29.864574432373047,-10.835360527038574,5.1138529777526855,22.608015060424805,49.371864318847656,-28.64146614074707,-10.112259864807129,5.583992004394531,23.16112518310547,49.785118103027344,-18.61370086669922,-5.328635215759277,8.67426586151123,24.355815887451172,42.156639099121094,-28.763816833496094,-9.944083213806152,6.1855573654174805,24.33538055419922,52.42274856567383
8,NS,-23.680828094482422,-9.51541805267334,5.012413501739502,20.72519874572754,39.98738098144531,-30.88623809814453,-13.57038688659668,0.9644001126289368,18.260496139526367,42.18815231323242,-33.526634216308594,-15.698437690734863,-0.11439188569784164,16.116498947143555,40.38424301147461,-31.454607009887695,-13.915842056274414,0.8184720277786255,17.344388961791992,39.86097717285156,-23.647798538208008,-10.55899715423584,2.2465291023254395,16.18829345703125,30.86239242553711,-33.12961196899414,-15.964659690856934,-0.1963704228401184,15.883016586303711,39.81127166748047
9,NU,-26.6476993560791,-10.008338928222656,6.722117900848389,25.9731502532959,51.83795166015625,-30.505878448486328,-10.412616729736328,7.144472122192383,27.16971778869629,58.10586929321289,-30.535022735595703,-10.571954727172852,7.1453118324279785,27.59224510192871,58.51286697387695,-29.667095184326172,-10.112885475158691,7.152193069458008,26.827728271484375,57.44784164428711,-17.10916519165039,-2.1097841262817383,13.424647331237793,30.535911560058594,50.32344436645508,-29.887842178344727,-9.530603408813477,7.996140956878662,27.65223503112793,59.191246032714844
10,ON,-27.79054832458496,-12.761858940124512,2.0084025859832764,18.8289794921875,40.85432815551758,-36.57863998413086,-16.88887596130371,-0.16717179119586945,19.24608039855957,47.88056182861328,-37.05431365966797,-17.69439697265625,-1.2003111839294434,17.59908676147461,47.64561462402344,-35.58586120605469,-16.281753540039062,0.939751923084259,20.29329490661621,48.09573745727539,-26.48079490661621,-12.971988677978516,1.1285432577133179,16.70047378540039,37.097984313964844,-36.58122253417969,-16.982398986816406,-0.3263809382915497,18.902145385742188,49.01217269897461
11,PE,-23.300922393798828,-7.65227746963501,7.054356575012207,22.976543426513672,37.01332092285156,-29.079029083251953,-12.703801155090332,2.2672226428985596,20.36264991760254,44.65278244018555,-31.052032470703125,-14.343223571777344,0.4799500107765198,16.683340072631836,36.81580352783203,-29.193317413330078,-13.092877388000488,0.8617717027664185,18.40469741821289,39.90503692626953,-22.215173721313477,-8.922802925109863,1.267080545425415,15.036401748657227,33.053855895996094,-30.98628807067871,-13.877985000610352,2.021885633468628,17.133169174194336,40.40325927734375
12,QC,-20.4300479888916,-7.249553203582764,5.344611644744873,18.79582977294922,35.80882263183594,-27.35710334777832,-10.930336952209473,2.7499446868896484,17.565427780151367,39.350406646728516,-27.976364135742188,-11.195634841918945,2.6100432872772217,17.486724853515625,39.04695129394531,-26.555282592773438,-10.36605453491211,3.017531156539917,18.057924270629883,39.45182418823242,-20.220781326293945,-8.49486255645752,3.4352786540985107,15.588869094848633,30.42825698852539,-28.618030548095703,-11.405245780944824,2.4729864597320557,17.879167556762695,41.28388214111328
