,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-11.88527774810791,-2.2982518672943115,6.523365497589111,15.962713241577148,28.29448127746582,-15.53886890411377,-2.702176332473755,7.401763439178467,18.157747268676758,33.762149810791016,-12.234257698059082,0.8469988107681274,11.376192092895508,22.652732849121094,39.38895034790039,-9.074426651000977,3.6396484375,14.224495887756348,26.079891204833984,43.899715423583984,-2.8296892642974854,6.515546798706055,15.84407901763916,26.06466293334961,39.08465576171875,-7.545444488525391,6.327919960021973,17.752079010009766,30.284189224243164,49.98521041870117
2,AB,-14.135920524597168,-4.835345268249512,4.440852165222168,14.161537170410156,26.197595596313477,-21.165489196777344,-6.760303020477295,3.66585111618042,14.89083194732666,31.001956939697266,-18.35234260559082,-5.0754313468933105,5.9369797706604,17.579315185546875,34.86686706542969,-19.33827781677246,-6.1800642013549805,4.290475368499756,15.472832679748535,31.046655654907227,-9.134879112243652,-1.519551396369934,6.704587936401367,14.69435977935791,24.441572189331055,-18.66304588317871,-3.966654062271118,7.370530605316162,19.139514923095703,36.630126953125
3,BC,-9.90473461151123,-1.6888519525527954,5.5328474044799805,13.501082420349121,23.02631187438965,-14.653260231018066,-3.1506190299987793,5.868312358856201,15.052315711975098,27.932498931884766,-12.303792953491211,-0.9365066289901733,8.036105155944824,17.29743766784668,30.446964263916016,-12.419319152832031,-1.0494163036346436,8.060113906860352,17.378482818603516,30.07771873474121,-7.173456192016602,0.5799543857574463,7.343908309936523,14.883467674255371,24.053730010986328,-10.71704387664795,1.5800968408584595,10.873844146728516,20.86814308166504,35.2713623046875
4,MB,-14.935121536254883,-4.115797996520996,4.778759479522705,14.68968391418457,27.013221740722656,-20.872236251831055,-7.659529209136963,2.9005801677703857,14.175325393676758,30.367267608642578,-19.03058624267578,-5.693603515625,5.107670783996582,16.67612075805664,34.43132400512695,-19.329618453979492,-6.350755214691162,4.787757396697998,17.480796813964844,35.41484451293945,-9.4440279006958,-0.8354933261871338,8.333094596862793,17.5260066986084,28.202970504760742,-19.35601806640625,-4.391439437866211,7.882829189300537,20.461017608642578,38.48750305175781
5,NB,-7.863914489746094,-0.5970699787139893,6.410133361816406,13.493042945861816,22.862991333007812,-12.972220420837402,-3.033834457397461,5.940455913543701,14.843050003051758,27.79191017150879,-11.575096130371094,-1.3171563148498535,7.110269546508789,15.43936538696289,28.178760528564453,-10.002639770507812,0.0444871224462986,8.083126068115234,16.51228904724121,29.142667770385742,-3.9717929363250732,2.9305074214935303,9.579804420471191,15.894037246704102,23.668947219848633,-9.865601539611816,0.8876237869262695,9.226836204528809,18.424636840820312,32.08510208129883
6,NL,-9.476672172546387,-1.6613577604293823,4.884356498718262,11.692747116088867,21.347917556762695,-11.76498031616211,-1.999252438545227,5.781031608581543,14.13100528717041,25.752593994140625,-10.463065147399902,-0.34130650758743286,7.417050838470459,15.524056434631348,28.056922912597656,-8.612781524658203,0.9971094131469727,8.572442054748535,16.997716903686523,29.02954864501953,-2.4521243572235107,4.125493049621582,10.795145034790039,17.603517532348633,25.854978561401367,-7.366981506347656,2.6949188709259033,11.048376083374023,19.60713768005371,32.202754974365234
7,NT,-12.216957092285156,-2.4164810180664062,6.874565124511719,16.866565704345703,30.651296615600586,-16.03257179260254,-1.926142930984497,8.34854793548584,19.2613525390625,35.786895751953125,-12.11529541015625,1.4217581748962402,12.298470497131348,23.913938522338867,40.94012451171875,-7.169092178344727,5.548777103424072,16.217931747436523,27.967304229736328,46.88209533691406,-1.9333306550979614,7.672677040100098,17.605674743652344,29.833213806152344,44.9389762878418,-6.378603458404541,7.704488754272461,19.197601318359375,31.977256774902344,53.139339447021484
8,NS,-10.310647964477539,-2.790156841278076,4.142636775970459,10.746540069580078,18.808917999267578,-14.174182891845703,-4.365395545959473,3.918306589126587,11.742432594299316,23.335491180419922,-13.697831153869629,-2.7494680881500244,4.9243340492248535,12.885286331176758,24.451221466064453,-11.680001258850098,-2.1544463634490967,5.9249138832092285,14.464472770690918,26.735240936279297,-7.7410478591918945,-1.009953498840332,5.869014263153076,12.008098602294922,18.708528518676758,-12.039185523986816,-2.6593689918518066,5.427853107452393,14.221760749816895,26.86480712890625
9,NU,-11.919347763061523,-1.7103420495986938,7.971879482269287,18.422176361083984,32.39042663574219,-15.0664644241333,-1.4277832508087158,9.692891120910645,21.696250915527344,39.18576431274414,-10.309196472167969,4.028903484344482,15.701250076293945,28.476245880126953,47.567527770996094,-5.103421688079834,9.094295501708984,21.074243545532227,34.941673278808594,56.18755340576172,0.08905250579118729,11.138192176818848,22.273439407348633,34.424007415771484,50.577449798583984,-2.5832812786102295,12.561524391174316,25.53315544128418,40.11042785644531,64.21427917480469
10,ON,-14.365211486816406,-4.7070488929748535,3.929753065109253,12.840063095092773,23.496482849121094,-17.86675453186035,-5.617247104644775,3.7126975059509277,13.547998428344727,27.076257705688477,-16.624923706054688,-4.208467483520508,5.776228904724121,16.009143829345703,30.665287017822266,-15.904243469238281,-4.134422779083252,5.836960792541504,16.57298469543457,31.74654197692871,-6.38885498046875,1.3270312547683716,9.198202133178711,17.30105209350586,26.987384796142578,-15.751507759094238,-2.4305851459503174,8.27052116394043,19.46108055114746,34.552406311035156
