,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-66.87995791435242,-14.427779614925385,-3.236459195613861,2.469508536159992,9.0971939265728,-119.80018615722656,-17.00269877910614,-4.239005595445633,2.180822566151619,11.954186856746674,-109.04545783996582,-17.610304057598114,-4.337911680340767,2.08218339830637,12.197407335042953,-119.67424154281616,-20.627108216285706,-5.4034847766160965,1.5249034389853477,12.719887495040894,-61.23077869415283,-22.472456097602844,-5.471470579504967,-0.5422018002718687,4.989922419190407,-127.47280597686768,-22.037528455257416,-5.29634952545166,1.3457229360938072,11.122968047857285
2,AB,-12.70926296710968,-7.600856572389603,-3.3627867698669434,1.690995693206787,8.804245293140411,-15.719643235206604,-9.356986731290817,-4.232415184378624,1.411155704408884,9.662189334630966,-16.631998121738434,-9.867331385612488,-4.4641125947237015,1.440316904336214,10.58621034026146,-16.755710542201996,-9.91433933377266,-4.627913609147072,0.9890356101095676,9.926223754882812,-13.735024631023407,-8.863990008831024,-4.686209186911583,-0.6747330538928509,4.800745472311974,-17.656415700912476,-10.9801284968853,-5.782204866409302,0.12784296413883567,9.289851784706116
3,BC,-29.82141673564911,-15.456639230251312,-6.7824773490428925,1.9114509224891663,13.036397099494934,-36.80901825428009,-19.644078612327576,-8.66943970322609,0.43775616213679314,12.814246118068695,-38.30100893974304,-21.480827033519745,-10.419192910194397,-0.36477192770689726,12.631766498088837,-37.88668215274811,-20.593075454235077,-10.436160117387772,-1.3646927662193775,11.639615893363953,-30.407550930976868,-18.45785826444626,-11.336753517389297,-4.648612067103386,3.7493713200092316,-41.57108962535858,-23.677733540534973,-12.358765304088593,-2.5024205446243286,10.333400219678879
4,MB,-10.204076766967773,-5.887741968035698,-2.049724943935871,2.072434313595295,8.114834874868393,-12.239164859056473,-6.825122237205505,-2.414163574576378,2.235587500035763,9.114057570695877,-12.616772949695587,-7.038993388414383,-2.440820261836052,2.4130837991833687,9.963297098875046,-13.037912547588348,-7.5041815638542175,-3.0404115095734596,1.6883699223399162,8.839081227779388,-9.2994824051857,-6.068722903728485,-2.84628476947546,0.8357906714081764,5.557084083557129,-13.425719738006592,-7.815227657556534,-3.3167384564876556,1.6355570405721664,8.92464816570282
5,NB,-11.441893875598907,-7.744448632001877,-3.712884709239006,1.0936866514384747,8.019883185625076,-16.80491268634796,-9.315095841884613,-5.44472336769104,-0.4066245164722204,9.059204161167145,-16.995802521705627,-10.8503058552742,-6.8642884492874146,-2.3708172142505646,4.861399158835411,-17.17386394739151,-10.512766242027283,-6.2661923468112946,-1.4942444860935211,6.840641051530838,-11.038529127836227,-8.412325382232666,-6.050397083163261,-3.1911205500364304,-0.3530527465045452,-19.04216706752777,-12.206050753593445,-7.910574227571487,-3.0287913978099823,3.932482749223709
6,NL,-16.488337516784668,-9.595411270856857,-3.591856360435486,2.581375278532505,10.079912841320038,-18.99290829896927,-10.666459798812866,-4.073552414774895,2.6300571858882904,11.882620304822922,-21.354086697101593,-12.129992246627808,-5.441894009709358,1.2710431590676308,11.142630875110626,-20.01626193523407,-11.864245682954788,-5.314546823501587,1.2716303579509258,10.520504415035248,-15.75622409582138,-10.497010499238968,-5.6273918598890305,-0.5231007002294064,5.16529493033886,-24.53092485666275,-15.284423530101776,-8.404317498207092,-1.0656450875103474,8.291087299585342
7,NT,-17.20309555530548,-5.624423921108246,-0.9154929779469967,3.5150088369846344,8.915822207927704,-62.745410203933716,-10.842053592205048,-2.3807456716895103,3.079022280871868,9.927533566951752,-58.416056632995605,-10.695619881153107,-1.7913641408085823,3.450959548354149,10.593281686306,-58.69803428649902,-11.84389591217041,-2.5727635249495506,3.3083900809288025,10.457567870616913,-21.50689959526062,-8.005081117153168,-2.031721919775009,1.9001958891749382,6.480208039283752,-63.15852999687195,-11.528726667165756,-1.849089004099369,3.3878952264785767,10.442885011434555
8,NS,-3.8154810667037964,-2.6808559894561768,-1.5712805092334747,-0.43295416980981827,1.1735692620277405,-6.475803256034851,-3.3805817365646362,-2.0054522901773453,-0.762897776439786,0.9953055530786514,-6.614241003990173,-3.8851264864206314,-2.233606204390526,-0.807697232812643,0.5713368766009808,-6.284114718437195,-3.519662469625473,-2.142195776104927,-0.8401820436120033,1.0341635905206203,-3.172275424003601,-2.2574253380298615,-1.2375363148748875,-0.598423182964325,-0.048005490680225194,-7.432178407907486,-4.238839074969292,-2.6185529306530952,-1.0048596188426018,0.4837158601731062
9,NU,-145.35661935806274,-24.38948154449463,-3.783222660422325,2.5367554277181625,8.660951256752014,-255.3459644317627,-26.997965574264526,-4.699475318193436,2.505483292043209,14.645862579345703,-229.16970252990723,-27.245360612869263,-4.307819902896881,2.7869828045368195,15.45124500989914,-255.07330894470215,-34.87073481082916,-6.64384588599205,1.788192056119442,17.36069768667221,-130.04357814788818,-43.0641233921051,-6.487254798412323,-0.6089877802878618,5.211225524544716,-269.69456672668457,-36.58251762390137,-4.978081211447716,2.6378514245152473,14.647306501865387
10,ON,-11.559850722551346,-7.240631431341171,-3.4897129982709885,0.619085319340229,6.677549332380295,-13.520371913909912,-8.068203926086426,-3.8314349949359894,0.7632189430296421,8.1993967294693,-14.01071548461914,-8.22337344288826,-4.065939038991928,0.4519394598901272,7.577182352542877,-14.254476130008698,-8.814244717359543,-4.5065924525260925,-0.0638680998235941,7.133225351572037,-11.427947133779526,-8.085653930902481,-5.072631314396858,-1.6015326604247093,2.822970412671566,-15.267792344093323,-9.424429386854172,-5.1283299922943115,-0.7052514236420393,6.423407793045044
