,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-34.45170223712921,-6.639671325683594,-1.6953988000750542,-0.31316643580794334,1.400059089064598,-69.0847635269165,-8.297280967235565,-1.911948248744011,-0.2058918122202158,7.933502644300461,-58.230000734329224,-7.24618062376976,-1.6353653743863106,-0.19291994394734502,5.0646111369133,-58.472031354904175,-7.721806317567825,-1.7376866191625595,-0.1611443469300866,4.9621231853961945,-29.154661297798157,-9.628856927156448,-2.258579432964325,-0.9089979343116283,0.8661280386149883,-60.4253351688385,-7.313928008079529,-1.6300695016980171,-0.19447373924776912,6.328393518924713
2,AB,-0.6149159744381905,-0.14755531447008252,-0.038125726860016584,-0.0013720512470172253,0.3078922163695097,-0.5139150656759739,-0.10078685590997338,-0.0288363138679415,-0.00011464277349659824,0.19520330242812634,-0.5146388430148363,-0.1043768017552793,-0.033370102755725384,-0.003952756742364727,0.24957186542451382,-0.4696840886026621,-0.11581833241507411,-0.029729885864071548,0.0010958186976495199,0.2750199753791094,-0.7376075722277164,-0.3228475805372,-0.07431007106788456,-0.004176594302407466,0.19120773067697883,-0.48719272017478943,-0.10427311062812805,-0.03337730304338038,-0.004963530591339804,0.2031909767538309
3,BC,-9.048046916723251,-2.58079394698143,-0.8902882225811481,-0.1523633487522602,2.0523225888609886,-5.9966545552015305,-1.685786247253418,-0.48007830046117306,0.104978505987674,2.6282304897904396,-6.631433218717575,-2.058279514312744,-0.6240515969693661,0.02398884971626103,2.87127997726202,-6.868057698011398,-1.989920623600483,-0.5758997984230518,0.032380284392274916,3.0542563647031784,-5.549012869596481,-1.7253126949071884,-0.546426372602582,-0.0348855770425871,1.7053820192813873,-6.828513741493225,-2.1585512906312943,-0.6550001446157694,-0.06661460502073169,2.2619370371103287
4,MB,-0.058723706752061844,-0.020525562285911292,-0.007486576214432716,0.00040013346733758226,0.05817525670863688,-0.09993179701268673,-0.01980107481358573,-0.007890431152191013,-0.0010080238098453265,0.04115682968404144,-0.08229493978433311,-0.017268511874135584,-0.005731334749725647,-0.000254554424827802,0.05592820234596729,-0.0902885862160474,-0.019911986601073295,-0.007389910751953721,-0.00043151962927368004,0.07900110213086009,-0.058998039457947016,-0.020037515787407756,-0.00859934589243494,0.005799165955977514,0.06350871990434825,-0.08256201981566846,-0.018100424495059997,-0.0064179977925959975,-0.00037503443763853284,0.04727813939098269
5,NB,-0.002569838943600189,-0.00013376808283283026,-3.12865622298375e-08,7.857078543338503e-06,0.004126801650272682,-0.002731257882260252,-0.0001400985524924181,-2.380613484120886e-08,0.0,0.0006773401764803566,-0.0022263282517087646,-0.00018374526007391978,-2.1235052605206306e-08,-9.074031876907772e-13,0.0009598622455087025,-0.0034027088986476883,-0.00023296058770938544,-2.956872435788682e-06,0.0,0.00202178125618957,-9.674304379814203e-06,-2.7981228001294767e-06,-1.2189868558998285e-08,4.234003370129358e-06,7.830470138969758e-06,-0.0021380867110565305,-0.00017590753031981876,-2.074352495329279e-08,0.0,0.0015471321603399701
6,NL,-4.525728523731232,-1.3688141480088234,-0.23193522356450558,0.27298550121486187,2.304728701710701,-5.68804107606411,-2.147982642054558,-0.4706295672804117,0.045858079101890326,1.8050510436296463,-5.113392323255539,-1.9139820709824562,-0.3572507295757532,0.11039001401513815,2.1908190101385117,-5.65512552857399,-2.338757738471031,-0.5304162390530109,0.01498620113125071,1.5350893139839172,-1.6735829412937164,-0.8189770393073559,-0.25609866715967655,0.2464128891006112,1.4270306564867496,-5.5696263909339905,-2.1576492115855217,-0.42330524884164333,0.03628004633355886,1.959088072180748
7,NT,-4.686843976378441,-1.3280044309794903,-0.5257467739284039,-0.05615318659693003,0.9698518551886082,-36.44912838935852,-5.154527351260185,-0.890180841088295,-0.10250147897750139,1.3213173486292362,-31.46834671497345,-4.136025533080101,-0.6650570780038834,-0.04448663676157594,1.4169272035360336,-29.31065559387207,-4.426455870270729,-0.7780507206916809,-0.04253085353411734,1.6538197174668312,-3.2575521618127823,-1.4391914010047913,-0.6761602126061916,-0.12772204354405403,0.8483224548399448,-29.56387996673584,-4.426271468400955,-0.716031901538372,-0.03494036791380495,1.5513235703110695
8,NS,-0.0005486897407536162,-0.00015083634252732736,0.0,0.0,9.818164059538503e-08,-0.0004799876478500664,-2.0622308656743915e-11,0.0,0.0,1.5600278402416734e-06,-0.00043273162191326264,-6.741775106927639e-12,0.0,0.0,0.0,-0.00046901054702175315,-4.160058608704276e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043973377614747733,-6.503586731654298e-12,0.0,0.0,7.917373778809633e-06
9,NU,-82.62217044830322,-15.349335968494415,-3.827914223074913,-0.8001795038580894,2.0622076466679573,-158.3165407180786,-18.401993811130524,-4.360473155975342,-0.5448257550597191,18.842990696430206,-132.989501953125,-15.86802750825882,-3.684518486261368,-0.5106079857796431,11.1613929271698,-133.7713122367859,-17.040465772151947,-3.9040226489305496,-0.42539238929748535,10.870712995529175,-71.79231643676758,-23.610131442546844,-5.326751619577408,-2.331315726041794,1.0273630730807781,-139.2101764678955,-15.854361653327942,-3.6206819117069244,-0.4804324358701706,14.676965773105621
10,ON,-0.04155320639256388,-0.00790267949923873,-0.0018188529793405905,0.000532694093635655,0.02690998953767121,-0.04144183767493814,-0.007420750625897199,-0.0015219874512695242,-0.00016302617495966842,0.013762536400463432,-0.03602361248340458,-0.0066625638282857835,-0.0013478496839525178,-0.00011180972023794311,0.02589908253867179,-0.04407204396557063,-0.008717088348930702,-0.0017475793356425129,-0.00018704994317886303,0.01863603829406202,-0.05179583095014095,-0.005021307151764631,-0.002086075437546242,0.001835259172366932,0.03081919567193836,-0.03909641527570784,-0.007327622006414458,-0.001520059504400706,-0.00018869445739255752,0.019691610941663384
