,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-60.79933047294617,-10.965292155742645,-2.6868335902690887,-0.17211547819897532,2.7786394581198692,-115.5592679977417,-13.153551518917084,-3.4687507897615433,-0.6063148379325867,5.225715413689613,-104.79816198348999,-13.469833135604858,-3.4010257571935654,-0.6723850034177303,5.03179207444191,-116.21654033660889,-16.718600690364838,-4.340799525380135,-0.9547353722155094,6.479094922542572,-56.31871223449707,-18.806859850883484,-4.092980548739433,-1.7877964302897453,0.8001553826034069,-124.11247491836548,-18.32909882068634,-4.020167514681816,-1.1300928890705109,4.116097092628479
2,AB,-2.7157779783010483,-1.5989141538739204,-0.6891391240060329,0.28475786093622446,2.3988718166947365,-3.2694395631551743,-2.0521648228168488,-1.1398231610655785,-0.14033156912773848,2.1443599835038185,-3.4442830830812454,-2.1551350131630898,-1.1584559455513954,-0.15802631387487054,2.1177221089601517,-3.5084038972854614,-2.2271567955613136,-1.2460209429264069,-0.24696956388652325,2.0657818764448166,-2.6319045573472977,-1.74931138753891,-0.9168803691864014,-0.0894390104804188,1.9989343360066414,-3.6862242966890335,-2.385714463889599,-1.378701813519001,-0.4070437978953123,1.806114800274372
3,BC,-9.103365987539291,-3.5291723906993866,-1.7532650381326675,-0.13620430836454034,2.934635430574417,-9.649497270584106,-4.758688807487488,-2.5581276044249535,-0.661430275067687,2.5559352710843086,-9.730421751737595,-4.983939602971077,-2.775869145989418,-0.8850879967212677,2.3339180275797844,-10.241082310676575,-5.1062799990177155,-2.821771614253521,-0.9358000010251999,2.201559394598007,-8.726135641336441,-3.7270888686180115,-2.1629706025123596,-0.7836729288101196,1.3105101883411407,-10.164082795381546,-5.455948784947395,-3.202647715806961,-1.3894226402044296,1.7169645056128502
4,MB,-2.8520936146378517,-1.8302975222468376,-0.9664651937782764,0.018127339717466384,2.028827555477619,-3.0357621610164642,-1.8488163128495216,-1.043351273983717,-0.17584317829459906,1.7632020637392998,-3.1542152166366577,-1.8944527953863144,-1.0784804821014404,-0.2899898448958993,1.62587221711874,-3.1578905880451202,-1.9433723762631416,-1.109242718666792,-0.30499103013426065,1.5748407691717148,-2.3494070395827293,-1.621650904417038,-0.8959141559898853,-0.12857679976150393,1.2714197859168053,-3.3872414380311966,-2.108406089246273,-1.2399755418300629,-0.42310734279453754,1.3504456728696823
5,NB,-1.287667267024517,-0.5804602988064289,-0.2729786094278097,0.015372932830359787,0.8434224873781204,-1.2303059920668602,-0.5256208125501871,-0.28132391162216663,-0.07641566917300224,0.8504577912390232,-1.2603316456079483,-0.568550219759345,-0.3315628273412585,-0.1508847577497363,0.546528585255146,-1.3254237361252308,-0.6332332734018564,-0.3240204881876707,-0.12152949348092079,0.6196849048137665,-1.5130570158362389,-0.6633485201746225,-0.2845993032678962,-0.01770825037965551,0.563440378755331,-1.3515491038560867,-0.6173684261739254,-0.35000366624444723,-0.17275599529966712,0.37374456878751516
6,NL,-3.460293263196945,-2.1073881536722183,-1.0512745007872581,0.18662158399820328,2.349444292485714,-3.7189561873674393,-2.2823575884103775,-1.3226754032075405,-0.2306629903614521,1.986219361424446,-4.108985885977745,-2.549283020198345,-1.6293754801154137,-0.6172392051666975,1.334606111049652,-3.8402829319238663,-2.5205954909324646,-1.5943946316838264,-0.5439043510705233,1.4619268476963043,-3.06759737432003,-2.1196026355028152,-1.2796168215572834,-0.3962384071201086,1.0668843984603882,-4.557063803076744,-2.976210042834282,-1.941460743546486,-0.8731470443308353,1.20706707239151
7,NT,-13.308106362819672,-4.052741080522537,-1.7469560727477074,0.11683552293106914,3.064933978021145,-62.243300676345825,-9.550109505653381,-3.1085601076483727,-0.26105165015906096,3.393382951617241,-57.10659623146057,-9.099968522787094,-2.525986172258854,-0.23255618289113045,3.2174330204725266,-58.48168730735779,-10.763102024793625,-3.567754849791527,-0.43284110724925995,3.0337342992424965,-19.051262736320496,-6.592001020908356,-2.561657503247261,-0.9065489284694195,1.4763511717319489,-63.48380446434021,-10.822315514087677,-3.1416531652212143,-0.7447732612490654,2.554057724773884
8,NS,-0.2913884352892637,-0.11573305819183588,-0.03951209073420614,0.009553956624586135,0.2376423915848136,-0.2441100776195526,-0.09164860239252448,-0.02740062482189387,-0.00760257025831379,0.2577124396339059,-0.25479565374553204,-0.08946146699599922,-0.03419953864067793,-0.012971536489203572,0.048869114834815264,-0.24325244594365358,-0.09563657222315669,-0.031110952841117978,-0.010102270607603714,0.16032515559345484,-0.3166630631312728,-0.1490832888521254,-0.03493691037874669,0.05654084961861372,0.1747107715345919,-0.23634571116417646,-0.0947646505665034,-0.03472906246315688,-0.012694887118414044,0.1302226330153644
9,NU,-144.7162389755249,-23.948025703430176,-4.902886599302292,-0.4950079135596752,3.489362448453903,-261.4092826843262,-27.019479870796204,-6.036986410617828,-1.096654124557972,9.938061982393265,-236.4379644393921,-27.43403911590576,-5.873791128396988,-1.0485605336725712,9.882715344429016,-263.8798236846924,-35.25071442127228,-7.901205122470856,-1.716495305299759,13.62132728099823,-132.2056531906128,-43.58686804771423,-8.005508780479431,-3.750181198120117,0.1319186412729323,-280.8623790740967,-38.982123136520386,-6.905847787857056,-1.6928037628531456,8.225608617067337
10,ON,-2.1531065925955772,-1.3741346076130867,-0.7414082065224648,-0.07171427132561803,1.2813839130103588,-2.256801538169384,-1.3091612607240677,-0.7239764556288719,-0.19495469750836492,1.0325430892407894,-2.230370044708252,-1.317516714334488,-0.7546626962721348,-0.26710801757872105,0.8016116917133331,-2.2911367937922478,-1.3601535931229591,-0.7656372152268887,-0.25264222640544176,0.9667950682342052,-1.802344061434269,-1.1897047981619835,-0.6619764491915703,-0.09195671882480383,0.9591853246092796,-2.4205248802900314,-1.4345094561576843,-0.8464858867228031,-0.3780604572966695,0.678194360807538
