,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-59.338730573654175,-10.517466068267822,-2.3102760314941406,0.8810395374894142,4.670026898384094,-146.28716707229614,-18.054986000061035,-4.218778014183044,0.0007504140739911236,4.939081892371178,-148.85910749435425,-20.4610213637352,-4.526806622743607,-0.5787072703242302,4.5150961726903915,-174.5435118675232,-29.673635959625244,-7.126791775226593,-1.7546722665429115,3.7751279771327972,-77.74577736854553,-26.816147565841675,-6.687140464782715,-2.9321059584617615,0.5646141245961189,-187.90361881256104,-32.35407471656799,-7.003231346607208,-2.317725494503975,2.91674192994833
2,AB,-6.429266929626465,-3.79115529358387,-1.6899576410651207,0.5237746052443981,3.664087876677513,-7.65325203537941,-4.844627156853676,-2.7122480794787407,-0.4096544813364744,2.9920032247900963,-8.7942935526371,-5.643819645047188,-3.375037759542465,-1.1085990816354752,2.4009164422750473,-9.917338192462921,-6.440647691488266,-4.054710268974304,-1.5662554651498795,1.9636550918221474,-9.045703709125519,-6.69616162776947,-4.679591208696365,-2.7642421424388885,-0.35719871520996094,-11.045997589826584,-7.460342347621918,-4.972218722105026,-2.630823105573654,0.8506741374731064
3,BC,-20.191174745559692,-9.268306195735931,-3.663814440369606,0.8015557192265987,6.83966726064682,-23.244409263134003,-13.18209320306778,-7.34206959605217,-2.3699212819337845,4.041210561990738,-27.05715298652649,-16.518333554267883,-9.941280633211136,-4.523772746324539,1.52592146769166,-30.11130690574646,-18.70853155851364,-11.600108444690704,-5.656937882304192,0.5142403766512871,-26.523831486701965,-15.791910886764526,-10.839026421308517,-6.987852603197098,-3.5110648721456528,-33.514443039894104,-21.573199331760406,-14.159153401851654,-7.907068729400635,-1.2343534268438816
4,MB,-4.352736845612526,-2.5375492870807648,-0.9809589013457298,0.7224960718303919,3.0432380735874176,-5.55388443171978,-3.508015349507332,-1.765010878443718,0.04381095350254327,2.832360565662384,-5.995446816086769,-3.8353081792593002,-2.164662629365921,-0.2924736123532057,2.689940482378006,-6.954912841320038,-4.75214347243309,-2.981855347752571,-1.0757426731288433,1.8967896699905396,-5.965204536914825,-4.078315570950508,-2.7642903849482536,-1.524396426975727,0.6160110235214233,-7.657250016927719,-5.366120859980583,-3.544512018561363,-1.7392655834555626,0.9266038425266743
5,NB,-4.81007844209671,-3.1451433897018433,-1.6410958021879196,0.2625965513288975,3.7147000432014465,-9.469451010227203,-5.073593556880951,-3.1037451699376106,-1.1945809237658978,1.64952352643013,-9.046341478824615,-5.597157403826714,-3.7813615053892136,-2.1158019080758095,0.8509138599038124,-9.665985405445099,-6.093877553939819,-4.408803954720497,-2.835223078727722,-0.2874072641134262,-5.955132842063904,-4.277662932872772,-3.0687086284160614,-1.8915655091404915,0.03386286844033748,-10.574548691511154,-6.94049671292305,-5.077586695551872,-3.4574661403894424,-0.9468815289437771
6,NL,-9.523767977952957,-5.600002780556679,-2.09943950176239,1.8205797299742699,6.599883735179901,-13.273072242736816,-7.799360901117325,-4.0100377053022385,-0.4817139357328415,4.801967367529869,-15.517377853393555,-10.017253458499908,-6.001080572605133,-2.253437414765358,2.9861148446798325,-16.837482154369354,-11.289633810520172,-7.065228372812271,-3.239676356315613,2.0454665645956993,-10.925605148077011,-7.903081178665161,-5.211124941706657,-1.9151510670781136,1.9298117607831955,-19.413793087005615,-13.523820042610168,-9.163454920053482,-5.164117366075516,-0.151984638068825
7,NT,-11.32839098572731,-3.520171344280243,-1.0695068165659904,1.2468325905501842,4.166381061077118,-79.6194314956665,-11.623135209083557,-2.804286405444145,0.7619662210345268,4.1338469833135605,-80.1656723022461,-10.695122927427292,-2.3793866857886314,0.45942291617393494,4.137824475765228,-89.14967775344849,-15.194141864776611,-4.914103075861931,-0.5154323764145374,3.255361318588257,-36.84474527835846,-11.605466902256012,-3.2907094806432724,-1.0407124646008015,1.7430275678634644,-102.19577550888062,-14.352735877037048,-4.4526442885398865,-0.8619388565421104,2.706829458475113
8,NS,-1.432831957936287,-0.9170466102659702,-0.48819659277796745,-0.12177794706076384,0.42838696390390396,-3.2496627420186996,-1.4301629737019539,-0.826590321958065,-0.39739799685776234,0.10853641433641315,-3.2156825065612793,-1.626649685204029,-0.970868393778801,-0.4329071380198002,0.03611919819377363,-3.1238751485943794,-1.6628624871373177,-1.0735529474914074,-0.5658869165927172,-0.04119649820495397,-1.682032085955143,-1.1707471683621407,-0.5963506177067757,-0.2829362638294697,-0.07368787191808224,-3.6396536976099014,-1.8584664911031723,-1.1418865993618965,-0.561066996306181,-0.1047058030962944
9,NU,-136.35560274124146,-20.0262188911438,-3.241194412112236,0.7592488545924425,4.908459261059761,-323.17066192626953,-34.206414222717285,-5.584507435560226,0.4737474024295807,6.947128474712372,-327.316689491272,-38.77440690994263,-5.135071650147438,0.3686369862407446,7.164811342954636,-387.164568901062,-59.15202498435974,-9.593567997217178,-1.1759178712964058,6.694795191287994,-171.62983417510986,-55.98122477531433,-9.883218258619308,-3.8008660078048706,0.84912134334445,-414.5693302154541,-64.94851112365723,-7.924497127532959,-1.029894407838583,6.307731568813324
10,ON,-5.512160062789917,-3.446723148226738,-1.7941605299711227,0.0421193428337574,2.566254511475563,-6.543336808681488,-4.08334843814373,-2.2595087066292763,-0.44594998471438885,2.334314212203026,-7.099103927612305,-4.557764902710915,-2.845640294253826,-1.0666043497622013,1.6659088432788849,-8.02423432469368,-5.4897889494895935,-3.6595311015844345,-1.8097784370183945,0.7850549183785915,-6.871979683637619,-4.6562232077121735,-3.243551403284073,-1.9998125731945038,-0.13597073266282678,-8.63078460097313,-6.170276924967766,-4.25548292696476,-2.424059994518757,-0.05596403498202562
