,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-0.8552788496017456,0.7014325261116028,2.154186248779297,3.77937912940979,5.599778175354004,-1.0842900276184082,1.0846937894821167,2.7573015689849854,4.467294692993164,6.800995349884033,-0.3013344407081604,1.7915173768997192,3.4200496673583984,5.023046016693115,7.36823844909668,-0.054967448115348816,2.0535902976989746,3.755507469177246,5.376041412353516,7.65097188949585,0.7406771779060364,2.504257917404175,4.10947322845459,5.8953328132629395,7.699254035949707,0.564872145652771,2.771146297454834,4.506556510925293,6.32921838760376,8.860796928405762
2,AB,-1.8145644664764404,-0.02472197450697422,1.3703629970550537,2.894412040710449,4.721770286560059,-2.3984196186065674,0.24774914979934692,2.1502697467803955,3.7633321285247803,5.829650402069092,-2.061053991317749,0.3934854567050934,2.207167863845825,3.859569549560547,6.201582908630371,-1.8265454769134521,0.5973950028419495,2.340705394744873,4.130954742431641,6.343701362609863,-0.13308945298194885,1.0244098901748657,2.1353976726531982,3.5003890991210938,5.459975719451904,-1.4170454740524292,1.0438001155853271,2.9757375717163086,4.715738296508789,6.9003825187683105
3,BC,-1.68266761302948,-0.1176687628030777,1.1573631763458252,2.4427542686462402,3.8956596851348877,-2.033940315246582,0.24649494886398315,1.8197680711746216,3.1666059494018555,4.904036998748779,-1.8028868436813354,0.20453894138336182,1.8237239122390747,3.245473861694336,5.041445255279541,-1.7541332244873047,0.3310778737068176,1.889117956161499,3.332155704498291,5.160918235778809,-0.4664895236492157,0.6606701612472534,1.758068323135376,2.9247446060180664,4.334385395050049,-1.4307926893234253,0.8113925457000732,2.4458353519439697,3.865278482437134,5.66347599029541
4,MB,-0.8175849318504333,0.5208316445350647,1.9031767845153809,3.179539918899536,4.690690994262695,-1.192476749420166,0.8511990904808044,2.5198450088500977,4.171619415283203,6.488249778747559,-0.8110780715942383,1.4022101163864136,2.989713191986084,4.481022834777832,6.9182000160217285,-0.5189222693443298,1.651415467262268,3.320286989212036,4.916223049163818,7.317028045654297,0.6437352895736694,2.0354580879211426,3.246438503265381,4.562121391296387,6.236656188964844,0.11766158044338226,2.437856674194336,4.073256969451904,5.639461517333984,8.051617622375488
5,NB,-0.6473807692527771,0.509166955947876,1.5541245937347412,2.795530080795288,3.8588201999664307,-0.7682565450668335,0.8403946161270142,2.0236568450927734,3.307575225830078,4.885566711425781,-0.2842549979686737,1.3217850923538208,2.4702203273773193,3.6495721340179443,5.2602691650390625,0.19383373856544495,1.5929127931594849,2.6821370124816895,3.7626311779022217,5.247926712036133,0.6088772416114807,1.6087348461151123,2.601919174194336,3.6154496669769287,4.870783805847168,0.8069333434104919,2.2689576148986816,3.301920175552368,4.539584636688232,6.18829345703125
6,NL,-0.7236247658729553,0.741006076335907,2.02392840385437,3.344116687774658,4.98555326461792,-0.9335529804229736,0.9240328669548035,2.2711703777313232,3.807263135910034,5.5861711502075195,-0.03960396349430084,1.5046559572219849,2.826586961746216,4.200804233551025,6.212210655212402,0.2835172414779663,1.7054535150527954,2.908614158630371,4.1901116371154785,5.997729301452637,-0.04041392728686333,1.543365716934204,2.796454429626465,4.6359357833862305,6.198885440826416,0.6117801666259766,2.2806074619293213,3.598846197128296,5.055584907531738,7.04713249206543
7,NT,-1.1458543539047241,0.5524774193763733,2.0262515544891357,3.7453255653381348,5.656520366668701,-1.3290871381759644,1.0057616233825684,2.8375134468078613,4.708643913269043,7.36365270614624,-0.6218053102493286,1.865971326828003,3.668482780456543,5.330077171325684,7.853187561035156,-0.37899988889694214,2.13818359375,4.085336685180664,5.90178918838501,8.463098526000977,0.8908786177635193,2.9189040660858154,4.844127655029297,6.877711772918701,8.636034965515137,0.3722146451473236,2.8925178050994873,4.8511176109313965,6.88629674911499,9.631247520446777
8,NS,-0.3084360361099243,0.5638393759727478,1.4292324781417847,2.3162992000579834,3.204317092895508,-0.46061432361602783,0.7163213491439819,1.6232264041900635,2.6023941040039062,3.7564809322357178,-0.09061899036169052,1.1076545715332031,1.9661332368850708,2.9561307430267334,4.204884052276611,0.13950152695178986,1.3103910684585571,2.231926202774048,3.0445775985717773,4.156862258911133,0.7369868159294128,1.4489673376083374,2.2850582599639893,3.08571195602417,4.0080366134643555,0.6021230220794678,1.809417724609375,2.6491551399230957,3.5326271057128906,4.868556976318359
9,NU,-0.36341580748558044,1.1452374458312988,2.69443416595459,4.560274600982666,6.66013765335083,-0.6174669861793518,1.5371627807617188,3.2671144008636475,5.077676773071289,7.646268367767334,0.5147925615310669,2.529827833175659,4.1922807693481445,5.9318461418151855,8.460469245910645,0.7113212943077087,2.859955072402954,4.670469760894775,6.309471607208252,8.750605583190918,1.265112042427063,3.346679210662842,5.3149824142456055,7.451752185821533,9.427719116210938,1.4363386631011963,3.5988073348999023,5.45808744430542,7.522369861602783,10.499344825744629
10,ON,-0.6890798211097717,0.63797527551651,1.8506340980529785,3.0668909549713135,4.337599754333496,-0.9197477698326111,0.9403360486030579,2.364065647125244,3.920971155166626,5.975801467895508,-0.41394710540771484,1.518056869506836,2.9096434116363525,4.286452293395996,6.327158451080322,0.011137829162180424,1.7780121564865112,3.2032902240753174,4.705724239349365,6.580490589141846,0.789450466632843,2.2725329399108887,3.290550470352173,4.246119976043701,5.748492240905762,0.6082263588905334,2.6123671531677246,4.017898082733154,5.451771259307861,7.329974174499512
