,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-0.43253231048583984,0.2941534221172333,0.9057984948158264,1.5542834997177124,2.3961615562438965,-0.6871062517166138,0.22461773455142975,0.9013370871543884,1.637784719467163,2.9822537899017334,-0.7059362530708313,0.2472064346075058,0.9265169501304626,1.7048590183258057,3.093007802963257,-0.6323004961013794,0.1952749490737915,0.8539714813232422,1.6030566692352295,2.809556007385254,-0.25310811400413513,0.4033801555633545,1.022892951965332,1.6264965534210205,2.3203554153442383,-0.5354247689247131,0.34215065836906433,1.0203375816345215,1.8117841482162476,3.1570613384246826
2,AB,-0.4415823519229889,0.2995491027832031,0.8597940802574158,1.4389933347702026,2.146901845932007,-0.5377435088157654,0.3533766567707062,1.095102310180664,1.8461164236068726,3.561861038208008,-0.6096449494361877,0.3564111590385437,1.1345187425613403,1.9544284343719482,3.6462011337280273,-0.5013671517372131,0.36798837780952454,1.065538763999939,1.7424002885818481,2.9582715034484863,-0.004991409834474325,0.6171125769615173,1.1185530424118042,1.6654107570648193,2.2244174480438232,-0.35937997698783875,0.5376463532447815,1.288407564163208,2.1475331783294678,3.6688733100891113
3,BC,-0.33688417077064514,0.3902517259120941,0.9227654337882996,1.4999220371246338,2.256096601486206,-0.4414796531200409,0.4116742014884949,1.0595465898513794,1.7486809492111206,2.9729254245758057,-0.5188963413238525,0.3835505247116089,1.0422630310058594,1.807084560394287,3.044384241104126,-0.4660026431083679,0.3820822834968567,1.011869192123413,1.696212887763977,2.7903904914855957,0.09351284801959991,0.6955050230026245,1.2332781553268433,1.7861242294311523,2.386380434036255,-0.3041822612285614,0.5443453788757324,1.1998635530471802,1.9575588703155518,3.223668098449707
4,MB,-0.4104025959968567,0.29991111159324646,0.9715544581413269,1.651309609413147,2.5488409996032715,-0.7393990159034729,0.2213529646396637,1.069019079208374,1.9498480558395386,3.5495445728302,-0.7470660209655762,0.3283880352973938,1.110711932182312,1.974134922027588,3.708552122116089,-0.8680850267410278,0.1781550496816635,1.0393682718276978,1.907469630241394,3.0678484439849854,-0.22909420728683472,0.46898356080055237,1.1169917583465576,1.6620428562164307,2.3954272270202637,-0.7152532339096069,0.4009146988391876,1.2677314281463623,2.202070951461792,3.8342361450195312
5,NB,0.03206496685743332,0.5326050519943237,0.9892966151237488,1.4212396144866943,1.92338228225708,-0.3201342523097992,0.5064976215362549,1.0139610767364502,1.606549620628357,2.7950868606567383,-0.13047726452350616,0.5222786664962769,1.0935900211334229,1.680268406867981,2.8196990489959717,-0.24755437672138214,0.3938533067703247,0.993471622467041,1.5884339809417725,2.4658043384552,0.41851699352264404,0.8085131049156189,1.215502142906189,1.5474640130996704,2.009953498840332,-0.06757906079292297,0.6237385869026184,1.2052347660064697,1.8535428047180176,3.0402872562408447
6,NL,-0.43583130836486816,0.44631633162498474,1.0494662523269653,1.6475893259048462,2.371662139892578,-0.5214740633964539,0.37976333498954773,1.0405505895614624,1.735486626625061,2.920135736465454,-0.4955824315547943,0.38950616121292114,1.0460752248764038,1.7682722806930542,2.8784258365631104,-0.5221379995346069,0.2886354923248291,0.9631581902503967,1.713860273361206,2.9823155403137207,-0.18181639909744263,0.5012751817703247,0.9761060476303101,1.5355268716812134,2.2004764080047607,-0.37272489070892334,0.5088257193565369,1.1775790452957153,1.9552416801452637,3.1929996013641357
7,NT,-0.6786089539527893,0.15028297901153564,0.7899101376533508,1.4625600576400757,2.3218188285827637,-0.8816723227500916,0.1075841411948204,0.8506739139556885,1.6135315895080566,3.0199921131134033,-0.9997166991233826,0.11761416494846344,0.8961472511291504,1.7428869009017944,3.198875904083252,-0.8353754878044128,0.05781279876828194,0.7724339962005615,1.5233423709869385,2.7399251461029053,-0.3910659849643707,0.27706822752952576,0.952052891254425,1.594343662261963,2.4173507690429688,-0.7797271013259888,0.1905750185251236,0.9325602054595947,1.7942537069320679,3.1335582733154297
8,NS,-0.07385460287332535,0.5334910154342651,1.0369083881378174,1.510684847831726,2.002506732940674,-0.3585735261440277,0.4341680705547333,0.9844498634338379,1.5267232656478882,2.3815019130706787,-0.2567633092403412,0.46376457810401917,1.0429575443267822,1.6378653049468994,2.477598190307617,-0.3253780007362366,0.3765397369861603,0.9834238290786743,1.594794511795044,2.4113078117370605,0.4165430963039398,0.8328884840011597,1.2074475288391113,1.6088393926620483,2.0636210441589355,-0.17013874650001526,0.5550705194473267,1.1159552335739136,1.75436270236969,2.6185834407806396
9,NU,-0.4678122103214264,0.22599880397319794,0.8462621569633484,1.5383574962615967,2.48579740524292,-0.7880771160125732,0.1144503653049469,0.7315840125083923,1.4455510377883911,2.689742088317871,-0.7561697959899902,0.16365262866020203,0.7682992219924927,1.4936926364898682,2.811769723892212,-0.6101652979850769,0.11709039658308029,0.6937699317932129,1.436720609664917,2.661858320236206,-0.46189072728157043,0.23821698129177094,0.9229573607444763,1.558817744255066,2.27347993850708,-0.5750148296356201,0.20764727890491486,0.7994515895843506,1.5129576921463013,2.7892515659332275
10,ON,-0.2486131340265274,0.4248116612434387,1.0003793239593506,1.6273521184921265,2.3955235481262207,-0.5097684860229492,0.3611997365951538,1.0404657125473022,1.7721890211105347,3.306107521057129,-0.4930190443992615,0.3923019468784332,1.0957229137420654,1.9345649480819702,3.458815574645996,-0.554544985294342,0.3084544837474823,1.0215706825256348,1.7985217571258545,2.965589761734009,0.06842508912086487,0.6386359333992004,1.1310093402862549,1.617952823638916,2.2684712409973145,-0.4332754909992218,0.5199839472770691,1.2635096311569214,2.1195576190948486,3.630730628967285
