,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-0.7615264058113098,0.4283094108104706,1.453510046005249,2.466438055038452,3.6414272785186768,-0.9024078845977783,0.7373942136764526,1.9814672470092773,3.2137610912323,4.966827392578125,0.13139039278030396,1.6798527240753174,2.8843114376068115,4.154395580291748,5.954400062561035,1.0905104875564575,2.524007558822632,3.7011797428131104,5.000924110412598,6.857324600219727,1.1914321184158325,2.265533685684204,3.3365561962127686,4.620667934417725,6.088726043701172,1.7400085926055908,3.3813233375549316,4.695277214050293,6.085174560546875,8.188860893249512
2,AB,-0.6486620306968689,0.49145492911338806,1.5118025541305542,2.434929847717285,3.4877703189849854,-0.9912790060043335,0.6722029447555542,1.8657069206237793,2.968393087387085,4.417449951171875,-0.255421906709671,1.2693748474121094,2.4619832038879395,3.570120096206665,4.993951797485352,0.34190303087234497,1.8465452194213867,3.0869057178497314,4.191646575927734,5.687911510467529,0.8356909155845642,1.7790026664733887,2.6594934463500977,3.6884210109710693,4.859243869781494,0.8013631701469421,2.5202903747558594,3.7744953632354736,4.971943378448486,6.468224048614502
3,BC,-0.7307812571525574,0.35623568296432495,1.262453556060791,2.0488054752349854,3.068525552749634,-0.6576253771781921,0.6393920183181763,1.6058464050292969,2.6031265258789062,3.971569061279297,-0.12044357508420944,1.285798192024231,2.317797899246216,3.321420431137085,4.611940383911133,0.3622431755065918,1.7346848249435425,2.7221145629882812,3.719761610031128,4.945013523101807,0.8835722804069519,1.5766063928604126,2.4970791339874268,3.4413421154022217,4.489812850952148,0.8969795107841492,2.319830894470215,3.4404637813568115,4.564793109893799,6.0711283683776855
4,MB,-0.6707540154457092,0.3364315330982208,1.3935455083847046,2.3546903133392334,3.558821201324463,-1.065284252166748,0.7810709476470947,2.0814764499664307,3.3156790733337402,5.199976444244385,-0.1209457665681839,1.5098496675491333,2.7731945514678955,4.044480800628662,5.818872928619385,0.8501341342926025,2.2668535709381104,3.456181287765503,4.807709693908691,6.926859378814697,1.000190258026123,2.052400827407837,3.0356948375701904,3.982769012451172,4.85257625579834,1.45378839969635,3.1799254417419434,4.478529930114746,5.798996448516846,7.542322635650635
5,NB,-0.4048059582710266,0.5036175847053528,1.2071419954299927,1.9072909355163574,2.8117480278015137,-0.4524598717689514,0.9340736269950867,1.8711705207824707,2.8315625190734863,3.9707322120666504,0.636306643486023,1.6996458768844604,2.625419855117798,3.5671353340148926,4.749898433685303,1.2495728731155396,2.3432064056396484,3.182663679122925,4.100125789642334,5.201637268066406,1.1786869764328003,2.1375441551208496,2.893289566040039,3.9989302158355713,4.695617198944092,1.8452821969985962,3.1916537284851074,4.145142078399658,5.096725940704346,6.479340076446533
6,NL,-1.3748092651367188,-0.17997437715530396,0.7147049307823181,1.7809563875198364,3.136337995529175,-1.022813081741333,0.3990798890590668,1.5034353733062744,2.6552481651306152,4.350184440612793,-0.19892190396785736,1.1555765867233276,2.161914825439453,3.2864491939544678,5.09298849105835,0.43463796377182007,1.7116165161132812,2.7310264110565186,3.932769298553467,6.037768840789795,-0.09222535789012909,1.1949594020843506,2.3292434215545654,3.4577925205230713,5.654739856719971,1.247467279434204,2.64335298538208,3.7459566593170166,5.049483776092529,7.108997344970703
7,NT,-1.030558466911316,0.30623918771743774,1.5098638534545898,2.696152448654175,4.026456832885742,-1.1215766668319702,0.7194740772247314,2.223590135574341,3.6277501583099365,5.659101963043213,-0.09337713569402695,1.773317575454712,3.1751766204833984,4.667396068572998,6.779552936553955,1.0825289487838745,2.6898722648620605,4.0839409828186035,5.56330680847168,7.643843173980713,1.1176632642745972,2.2457425594329834,3.4334607124328613,4.997725963592529,6.354304790496826,1.632131576538086,3.534651041030884,5.074004173278809,6.645902633666992,9.150552749633789
8,NS,-0.28908658027648926,0.4290989935398102,1.1387114524841309,1.8417634963989258,2.6705069541931152,-0.39794254302978516,0.8188832402229309,1.6378748416900635,2.449995517730713,3.490328788757324,0.5192540884017944,1.4601690769195557,2.2529540061950684,3.0606071949005127,4.131181716918945,1.0964518785476685,2.0960896015167236,2.7962582111358643,3.564624071121216,4.447632312774658,1.188485860824585,1.9215590953826904,2.5153939723968506,3.561927556991577,4.389196395874023,1.6195119619369507,2.7586464881896973,3.5283010005950928,4.382826805114746,5.61801815032959
9,NU,-0.5777174830436707,0.651728630065918,1.702231526374817,2.7595415115356445,3.8590614795684814,-0.8803122043609619,0.8104669451713562,2.0833117961883545,3.3468542098999023,5.103489875793457,0.40367674827575684,1.9362391233444214,3.1520538330078125,4.462084770202637,6.341288089752197,1.5481300354003906,3.021381139755249,4.167503356933594,5.527099609375,7.4073896408081055,1.662306785583496,2.8556158542633057,3.9087090492248535,5.364800453186035,7.1053056716918945,2.296008348464966,3.916030168533325,5.245891571044922,6.677657604217529,9.070211410522461
10,ON,-0.47667235136032104,0.42041605710983276,1.2572721242904663,2.1348893642425537,3.15604829788208,-0.6522874236106873,0.8057137727737427,1.9641609191894531,3.1090903282165527,4.759890079498291,0.2917340099811554,1.681373119354248,2.744255542755127,3.9172441959381104,5.519097805023193,1.1104786396026611,2.384063720703125,3.452958106994629,4.624882221221924,6.3690290451049805,1.2283458709716797,2.101445436477661,3.184171676635742,4.060297012329102,4.9118194580078125,1.6961981058120728,3.2804934978485107,4.505658149719238,5.718019485473633,7.310667991638184
