,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,-0.1241673082113266,0.9921965599060059,2.063746213912964,3.198620319366455,4.525429725646973,-0.24031388759613037,1.1934325695037842,2.2291207313537598,3.3085930347442627,4.905107498168945,0.444994181394577,1.7346220016479492,2.73995041847229,3.8321568965911865,5.335465908050537,0.8109002709388733,1.994409441947937,2.930185079574585,3.946305513381958,5.518378257751465,1.5866894721984863,2.878127098083496,3.7460365295410156,4.717884540557861,5.892369747161865,1.0754998922348022,2.4388325214385986,3.5316097736358643,4.7079668045043945,6.408243656158447
2,AB,-0.6522157788276672,0.29363664984703064,1.144730567932129,1.9669069051742554,2.9203877449035645,-0.46611887216567993,0.9005042910575867,1.8063514232635498,2.6882801055908203,3.777944803237915,-0.1879924088716507,1.074125051498413,2.0261077880859375,2.9767754077911377,4.08884859085083,0.19274932146072388,1.3318305015563965,2.1520280838012695,2.991605043411255,4.16618013381958,0.5024321675300598,1.5355756282806396,2.096756935119629,2.8093419075012207,3.8531553745269775,0.3171006143093109,1.6868774890899658,2.605762243270874,3.512624502182007,4.794151782989502
3,BC,-0.4138931930065155,0.4227655529975891,1.0986790657043457,1.8114045858383179,2.661970376968384,-0.310037761926651,0.83271723985672,1.6443606615066528,2.4559831619262695,3.399047613143921,-0.13218818604946136,0.9922021627426147,1.8364324569702148,2.6642391681671143,3.6901257038116455,0.19600547850131989,1.162860631942749,1.8634679317474365,2.659594774246216,3.6966166496276855,0.555675745010376,1.3222339153289795,2.055166244506836,2.6953413486480713,3.593245267868042,0.39572563767433167,1.5267934799194336,2.3070144653320312,3.145442008972168,4.261514186859131
4,MB,-0.58261638879776,0.5264320969581604,1.4922980070114136,2.4193480014801025,3.4836575984954834,-0.4181026816368103,0.9026281833648682,1.8110321760177612,2.738271951675415,4.062823295593262,0.04337276518344879,1.229278564453125,2.102511405944824,3.1059138774871826,4.416848182678223,0.4439399838447571,1.5304653644561768,2.372499704360962,3.254063367843628,4.681314945220947,0.8194607496261597,1.8272818326950073,2.6663355827331543,3.390547513961792,4.635700225830078,0.631496250629425,1.8686000108718872,2.8964602947235107,3.817383289337158,5.447520732879639
5,NB,-0.025200700387358665,0.6858677864074707,1.336585283279419,2.002199172973633,2.783134937286377,-0.1013462096452713,0.7983649969100952,1.4258333444595337,2.215913772583008,3.185040235519409,0.3491875231266022,1.1152088642120361,1.7609655857086182,2.4938740730285645,3.4558658599853516,0.49953874945640564,1.2763018608093262,1.8865959644317627,2.6271097660064697,3.709930419921875,0.6598209142684937,1.616459846496582,2.249476432800293,2.9342689514160156,3.8502306938171387,0.8116404414176941,1.6994152069091797,2.4263830184936523,3.240391254425049,4.337684631347656
6,NL,-0.1651616245508194,0.6900888085365295,1.3318545818328857,2.0524888038635254,2.9422755241394043,-0.19628438353538513,0.7368925213813782,1.4726673364639282,2.2252116203308105,3.256530284881592,0.3166678249835968,1.1731257438659668,1.825000524520874,2.5253889560699463,3.575563430786133,0.4950186014175415,1.2789610624313354,1.95671546459198,2.6466808319091797,3.8486154079437256,0.34745970368385315,1.4317610263824463,2.161177396774292,2.807947874069214,3.9090075492858887,0.6313250064849854,1.606786847114563,2.3651010990142822,3.2348694801330566,4.4884419441223145
7,NT,-0.19314023852348328,1.1989928483963013,2.4563350677490234,3.7902982234954834,5.1855363845825195,-0.41689446568489075,1.3787833452224731,2.558389663696289,3.799459934234619,5.700632095336914,0.37601912021636963,1.9170536994934082,3.086113214492798,4.3517045974731445,6.196496963500977,0.7645162343978882,2.2368454933166504,3.293893814086914,4.445830821990967,6.262965202331543,1.865774154663086,3.3706095218658447,4.3016438484191895,5.626764297485352,6.847107887268066,1.1340465545654297,2.676896333694458,3.9525465965270996,5.259744644165039,7.131382465362549
8,NS,-0.0025261181872338057,0.6358350515365601,1.2762693166732788,1.891403317451477,2.6369173526763916,-0.1409957855939865,0.7357662916183472,1.3429465293884277,2.0359549522399902,2.9274771213531494,0.2848188579082489,1.0738039016723633,1.6642664670944214,2.2785024642944336,3.1355366706848145,0.4991642236709595,1.2421571016311646,1.8491729497909546,2.4827017784118652,3.418335199356079,0.7962854504585266,1.5697076320648193,2.1645925045013428,2.7610766887664795,3.566019058227539,0.6816628575325012,1.5329691171646118,2.25463604927063,3.0159828662872314,3.9173290729522705
9,NU,0.21907994151115417,1.4660043716430664,2.8096373081207275,4.288196563720703,6.032039642333984,-0.05474073439836502,1.5820541381835938,2.813600540161133,4.111999988555908,6.168939113616943,0.9153286218643188,2.395610809326172,3.581761360168457,4.882688999176025,6.678738117218018,1.3850023746490479,2.7064967155456543,3.814981460571289,5.021590232849121,6.942266941070557,2.681321144104004,4.287496089935303,5.258821487426758,6.354971885681152,7.702877998352051,1.6798901557922363,3.2502012252807617,4.5540900230407715,6.006950378417969,8.09477424621582
10,ON,-0.37751227617263794,0.5447685122489929,1.3538005352020264,2.1841063499450684,3.1575746536254883,-0.35578927397727966,0.7498771548271179,1.5415468215942383,2.369314193725586,3.5651979446411133,0.18556152284145355,1.0774438381195068,1.865578293800354,2.7498457431793213,3.9480414390563965,0.39834997057914734,1.3853873014450073,2.0760183334350586,2.904768705368042,4.2207465171813965,0.5672739148139954,1.621739387512207,2.4432907104492188,3.3252501487731934,4.300841331481934,0.6765004396438599,1.727575659751892,2.593641996383667,3.534513473510742,4.979065895080566
