,Provinces,"ssp1-1.9, 5th percentile","ssp1-1.9, 25th percentile","ssp1-1.9, 50th percentile","ssp1-1.9, 75th percentile","ssp1-1.9, 95th percentile","ssp1-2.6, 5th percentile","ssp1-2.6, 25th percentile","ssp1-2.6, 50th percentile","ssp1-2.6, 75th percentile","ssp1-2.6, 95th percentile","ssp2-4.5, 5th percentile","ssp2-4.5, 25th percentile","ssp2-4.5, 50th percentile","ssp2-4.5, 75th percentile","ssp2-4.5, 95th percentile","ssp3-7.0, 5th percentile","ssp3-7.0, 25th percentile","ssp3-7.0, 50th percentile","ssp3-7.0, 75th percentile","ssp3-7.0, 95th percentile","ssp4-6.0, 5th percentile","ssp4-6.0, 25th percentile","ssp4-6.0, 50th percentile","ssp4-6.0, 75th percentile","ssp4-6.0, 95th percentile","ssp5-8.5, 5th percentile","ssp5-8.5, 25th percentile","ssp5-8.5, 50th percentile","ssp5-8.5, 75th percentile","ssp5-8.5, 95th percentile"
1,Canada,0.04754458740353584,0.8896501660346985,1.6283800601959229,2.3806002140045166,3.3222155570983887,0.3522365987300873,1.3820332288742065,2.2131619453430176,3.1139352321624756,4.491449356079102,1.4599529504776,2.4707181453704834,3.308760166168213,4.2425665855407715,5.7531023025512695,2.3549797534942627,3.4112303256988525,4.261264801025391,5.1949872970581055,6.83436918258667,2.260037422180176,3.446477174758911,4.276343822479248,5.3982038497924805,6.945193290710449,3.0398800373077393,4.247579097747803,5.373256683349609,6.474360942840576,8.053119659423828
2,AB,-0.14172644913196564,0.5558944940567017,1.20792818069458,1.9695148468017578,2.6725597381591797,0.03180621936917305,1.1257266998291016,1.9016817808151245,2.6408841609954834,3.6434524059295654,0.8995801210403442,1.8792400360107422,2.632011651992798,3.401933193206787,4.469064235687256,1.6731733083724976,2.6068828105926514,3.343928098678589,4.156581878662109,5.459613800048828,1.7643667459487915,2.3176376819610596,2.9009997844696045,3.979119300842285,4.9033522605896,2.0444934368133545,3.199720621109009,4.142109394073486,5.148756504058838,6.429749488830566
3,BC,-0.2298613041639328,0.47930318117141724,1.1587616205215454,1.8542370796203613,2.4920294284820557,0.09488188475370407,0.9901027679443359,1.6919580698013306,2.383727788925171,3.358665704727173,0.779741108417511,1.715286374092102,2.3871843814849854,3.08161997795105,4.036076068878174,1.3374862670898438,2.2269301414489746,2.892116069793701,3.6254613399505615,4.844448566436768,1.5369421243667603,2.0824198722839355,2.7526824474334717,3.6326403617858887,4.508413314819336,1.7608966827392578,2.7634658813476562,3.633678674697876,4.6410980224609375,5.789411544799805
4,MB,0.06805028766393661,0.7552297115325928,1.4402186870574951,2.0996222496032715,2.7380144596099854,0.28474563360214233,1.366237998008728,2.129319429397583,2.8992092609405518,4.072516918182373,1.2716132402420044,2.2383956909179688,3.0514402389526367,3.8957102298736572,5.15402889251709,2.1092369556427,3.209894895553589,3.947395086288452,4.780600547790527,6.41894006729126,2.131922960281372,2.798732042312622,3.585123300552368,4.679050445556641,5.7410383224487305,2.798006296157837,3.9313247203826904,4.918968677520752,5.956498146057129,7.403292655944824
5,NB,0.06385468691587448,0.6353434324264526,1.1636300086975098,1.7231966257095337,2.4633219242095947,0.38085487484931946,1.1631104946136475,1.8117647171020508,2.435823678970337,3.4543731212615967,1.2916841506958008,2.076479196548462,2.683718681335449,3.284803867340088,4.170437812805176,1.9106255769729614,2.836627244949341,3.3517537117004395,3.908414125442505,4.912370681762695,1.6019684076309204,2.5000314712524414,2.934208393096924,3.812972068786621,4.776693820953369,2.718167543411255,3.5512287616729736,4.268737316131592,5.0366435050964355,5.994994640350342
6,NL,-0.5443093776702881,0.46745991706848145,1.1562108993530273,1.8354246616363525,2.924652576446533,0.15580154955387115,1.0510165691375732,1.680681824684143,2.5365633964538574,3.9807746410369873,1.091989517211914,1.884934425354004,2.5903594493865967,3.4432201385498047,4.857487678527832,1.7084304094314575,2.626539707183838,3.3357553482055664,4.143377780914307,5.76643180847168,0.8351312279701233,2.3741793632507324,3.0561838150024414,3.8786396980285645,5.830521583557129,2.4588992595672607,3.3690826892852783,4.2943115234375,5.334268569946289,6.695027828216553
7,NT,0.06057621166110039,0.8919529318809509,1.7142637968063354,2.540764570236206,3.4345288276672363,0.3661079704761505,1.4626319408416748,2.421398878097534,3.3818304538726807,4.795460224151611,1.451227068901062,2.644256591796875,3.5525612831115723,4.560779094696045,6.358765125274658,2.452054738998413,3.574692487716675,4.5129008293151855,5.60705041885376,7.527202129364014,2.611684560775757,3.719822645187378,4.669943332672119,6.27623176574707,7.479559898376465,3.0540757179260254,4.520722389221191,5.721507549285889,6.887790679931641,8.703243255615234
8,NS,-0.03853015974164009,0.5747219920158386,1.0944191217422485,1.6959112882614136,2.4030392169952393,0.06817572563886642,0.9734718799591064,1.5825964212417603,2.252291679382324,3.150703191757202,0.9037830829620361,1.695090889930725,2.284578800201416,2.9390788078308105,3.7926299571990967,1.4860072135925293,2.4046790599823,2.9737472534179688,3.5043323040008545,4.357250213623047,1.5476722717285156,2.199946403503418,2.650815725326538,3.512052297592163,4.490146160125732,2.2207601070404053,3.0276310443878174,3.708665609359741,4.4487690925598145,5.47016716003418
9,NU,0.24833348393440247,1.207823634147644,1.9999727010726929,2.7865073680877686,3.9151363372802734,0.4935184717178345,1.5921646356582642,2.503800868988037,3.5266451835632324,5.097120761871338,1.8510302305221558,2.903268814086914,3.8316895961761475,4.8927693367004395,6.682216167449951,2.897392511367798,4.062957763671875,5.040189266204834,6.0894775390625,7.855825901031494,2.816335439682007,4.3934783935546875,5.320534706115723,6.497429847717285,8.543730735778809,3.7096774578094482,4.998445510864258,6.3315043449401855,7.53719425201416,9.318663597106934
10,ON,0.1365356743335724,0.7535014748573303,1.3826454877853394,1.9530807733535767,2.606383800506592,0.39329826831817627,1.282548427581787,1.982423186302185,2.7155027389526367,3.8086867332458496,1.3659764528274536,2.2078535556793213,2.9378249645233154,3.7262308597564697,4.844839572906494,2.1843793392181396,3.129171371459961,3.752955198287964,4.452700138092041,5.859359264373779,1.905806303024292,2.7355074882507324,3.4693450927734375,4.388609886169434,5.400407791137695,2.8680577278137207,3.909839630126953,4.743388652801514,5.644089221954346,6.9504170417785645
11,PE,0.0787256583571434,0.711600124835968,1.2796363830566406,1.8736546039581299,2.5812435150146484,0.3470092713832855,1.1960560083389282,1.8529762029647827,2.550992488861084,3.461421251296997,1.2641947269439697,2.036604404449463,2.6241440773010254,3.2808609008789062,4.096432685852051,1.8583275079727173,2.727445125579834,3.290322780609131,3.848046064376831,4.867491722106934,1.48106050491333,2.3238754272460938,2.8877334594726562,3.666613817214966,4.830212593078613,2.562570333480835,3.4030182361602783,4.264155387878418,4.934556007385254,5.812172889709473
12,QC,-0.052112068980932236,0.7255480289459229,1.3821213245391846,2.098893165588379,3.100480794906616,0.4110572338104248,1.3015811443328857,1.9931117296218872,2.863670587539673,4.376908779144287,1.4614957571029663,2.3439717292785645,3.0800352096557617,3.9573516845703125,5.363687992095947,2.2781410217285156,3.1808435916900635,3.9134087562561035,4.72177791595459,6.430956840515137,1.6701035499572754,2.9405953884124756,3.696758270263672,4.478701591491699,6.313188076019287,3.0635812282562256,4.042905807495117,5.014791965484619,6.020932674407959,7.500638961791992
13,SK,-0.05554937943816185,0.6608328223228455,1.3096494674682617,2.048525810241699,2.802271842956543,0.10394450277090073,1.234699010848999,2.042304754257202,2.8083770275115967,3.8984384536743164,1.0313516855239868,2.007517099380493,2.8206968307495117,3.6377220153808594,4.802453994750977,1.888197422027588,2.87958025932312,3.6823203563690186,4.549161434173584,5.896605968475342,1.941811442375183,2.4984705448150635,3.11999773979187,4.25520658493042,5.275838851928711,2.3528804779052734,3.5284438133239746,4.534023284912109,5.552728176116943,6.902169704437256
14,YT,-0.389182448387146,0.5243449807167053,1.3151307106018066,2.1871187686920166,3.0395774841308594,0.11717575788497925,1.0800490379333496,1.937756061553955,2.8077547550201416,4.025142192840576,0.8789293169975281,2.0360631942749023,2.8894810676574707,3.7418580055236816,4.974885940551758,1.5570303201675415,2.615427017211914,3.5212907791137695,4.454571723937988,5.821758270263672,1.7900879383087158,2.776283025741577,3.67345929145813,4.739647388458252,5.621711730957031,2.0007567405700684,3.3946263790130615,4.469939708709717,5.563519477844238,6.9647345542907715
