"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.92","49.17","CHILLIWACK","1101530","1922-01-01","1922","01","01","","5.0","","0.0","","2.5","","15.5","","0.0","","20.1","","0.0","","20.1","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-02","1922","01","02","","3.3","","-2.8","","0.3","","17.7","","0.0","","0.3","","0.0","","0.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-03","1922","01","03","","1.1","","-4.4","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-04","1922","01","04","","1.7","","-1.7","","0.0","","18.0","","0.0","","0.0","","3.8","","3.8","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-05","1922","01","05","","1.7","","-4.4","","-1.4","","19.4","","0.0","","3.6","","5.1","","8.6","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-06","1922","01","06","","2.8","","-0.6","","1.1","","16.9","","0.0","","9.7","","0.0","","9.7","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-07","1922","01","07","","1.7","","-1.1","","0.3","","17.7","","0.0","","4.3","","2.5","","6.9","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-08","1922","01","08","","2.8","","0.0","","1.4","","16.6","","0.0","","4.1","","0.0","","4.1","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-09","1922","01","09","","7.2","","0.6","","3.9","","14.1","","0.0","","14.2","","0.0","","14.2","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-10","1922","01","10","","6.1","","1.7","","3.9","","14.1","","0.0","","2.8","","0.0","","2.8","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-11","1922","01","11","","4.4","","-0.6","","1.9","","16.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-12","1922","01","12","","6.1","","0.0","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-13","1922","01","13","","3.3","","-2.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-14","1922","01","14","","4.4","","-2.8","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-15","1922","01","15","","3.3","","-2.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-16","1922","01","16","","2.8","","-5.0","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-17","1922","01","17","","-1.1","","-5.0","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-18","1922","01","18","","-1.7","","-11.1","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-19","1922","01","19","","-1.7","","-7.8","","-4.8","","22.8","","0.0","","0.3","","0.0","","0.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-20","1922","01","20","","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-21","1922","01","21","","0.0","","-2.8","","-1.4","","19.4","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-22","1922","01","22","","3.9","","-1.7","","1.1","","16.9","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-23","1922","01","23","","2.2","","-5.0","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-24","1922","01","24","","1.7","","-3.9","","-1.1","","19.1","","0.0","","0.5","","3.8","","4.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-25","1922","01","25","","2.8","","-2.2","","0.3","","17.7","","0.0","","8.4","","0.0","","8.4","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-26","1922","01","26","","5.6","","1.7","","3.7","","14.3","","0.0","","7.1","","0.0","","7.1","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-27","1922","01","27","","2.8","","0.6","","1.7","","16.3","","0.0","","2.3","","0.0","","2.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-28","1922","01","28","","3.3","","-3.3","","0.0","","18.0","","0.0","","0.3","","0.0","","0.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-29","1922","01","29","","0.0","","-1.7","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-30","1922","01","30","","-3.3","","-7.8","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-01-31","1922","01","31","","-2.8","","-9.4","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-01","1922","02","01","","-1.1","","-9.4","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-02","1922","02","02","","-1.1","","-4.4","","-2.8","","20.8","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-03","1922","02","03","","0.6","","-1.7","","-0.6","","18.6","","0.0","","0.0","","15.2","","15.2","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-04","1922","02","04","","3.9","","0.0","","2.0","","16.0","","0.0","","4.8","","0.0","","4.8","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-05","1922","02","05","","2.8","","-8.9","","-3.1","","21.1","","0.0","","1.5","","0.0","","1.5","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-06","1922","02","06","","4.4","","0.6","","2.5","","15.5","","0.0","","2.0","","0.0","","2.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-07","1922","02","07","","8.9","","1.7","","5.3","","12.7","","0.0","","6.6","","0.0","","6.6","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-08","1922","02","08","","1.1","","-1.1","","0.0","","18.0","","0.0","","14.2","","0.0","","14.2","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-09","1922","02","09","","-2.2","","-6.1","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-10","1922","02","10","","-4.4","","-7.2","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-11","1922","02","11","","-5.6","","-8.9","","-7.3","","25.3","","0.0","","0.0","","1.3","","1.3","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-12","1922","02","12","","-3.9","","-9.4","","-6.7","","24.7","","0.0","","0.0","","5.1","","5.1","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-13","1922","02","13","","-2.8","","-8.9","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-14","1922","02","14","","-1.1","","-5.0","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-15","1922","02","15","","2.2","","-2.8","","-0.3","","18.3","","0.0","","7.4","","0.0","","7.4","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-16","1922","02","16","","6.1","","0.0","","3.1","","14.9","","0.0","","8.9","","0.0","","8.9","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-17","1922","02","17","","6.7","","1.1","","3.9","","14.1","","0.0","","4.1","","0.0","","4.1","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-18","1922","02","18","","5.0","","1.1","","3.1","","14.9","","0.0","","7.4","","0.0","","7.4","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-19","1922","02","19","","5.6","","-0.6","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-20","1922","02","20","","4.4","","-2.2","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-21","1922","02","21","","3.9","","-3.9","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-22","1922","02","22","","2.2","","-1.7","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-23","1922","02","23","","2.2","","-3.9","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-24","1922","02","24","","6.1","","-2.8","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-25","1922","02","25","","7.2","","-2.2","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-26","1922","02","26","","11.1","","-1.7","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-27","1922","02","27","","9.4","","-2.2","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-02-28","1922","02","28","","9.4","","-3.3","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-03-01","1922","03","01","","11.1","","-1.7","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-121.92","49.17","CHILLIWACK","1101530","1922-03-02","1922","03","02","","3.3","","-2.2","","0.6","","17.4","","0.0","","17.3","","0.0","","17.3","","","","","","",""
