"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.98","51.30","GOLDEN A","1173210","2015-01-01","2015","01","01","†","-9.5","","-17.5","","-13.5","","31.5","","0.0","","0.0","","1.2","","0.8","","25","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-02","2015","01","02","†","-8.5","","-11.5","","-10.0","","28.0","","0.0","","0.0","","1.2","","0.4","","26","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-03","2015","01","03","†","-10.0","","-13.5","","-11.8","","29.8","","0.0","","0.0","","1.6","","1.0","","27","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-04","2015","01","04","†","-12.5","","-17.5","","-15.0","","33.0","","0.0","","0.0","","7.6","","7.0","","28","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-05","2015","01","05","†","-9.5","","-15.0","","-12.3","","30.3","","0.0","","0.0","","11.8","","8.4","","33","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-06","2015","01","06","†","-4.5","","-10.5","","-7.5","","25.5","","0.0","","0.0","","3.6","","1.8","","43","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-07","2015","01","07","†","-3.5","","-6.0","","-4.8","","22.8","","0.0","","0.0","","0.2","","0.0","T","45","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-08","2015","01","08","†","-1.0","","-8.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-09","2015","01","09","†","-4.5","","-9.0","","-6.8","","24.8","","0.0","","0.0","","0.4","","0.0","T","39","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2015-01-10","2015","01","10","†","-5.5","","-7.5","","-6.5","","24.5","","0.0","","0.0","","0.4","","0.0","T","38","","","","",""
