"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-01","1953","01","01","","-2.2","","","","","","","","","","0.0","","0.0","T","0.0","T","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-02","1953","01","02","","-4.4","","","","","","","","","","0.0","","2.5","","2.5","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-03","1953","01","03","","-2.2","","","","","","","","","","0.0","","0.5","","0.5","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-04","1953","01","04","","-6.7","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-05","1953","01","05","","-9.4","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-06","1953","01","06","","-21.1","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-07","1953","01","07","","-26.1","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-08","1953","01","08","","-27.2","","","","","","","","","","0.0","","1.3","","1.3","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-09","1953","01","09","","-22.8","","","","","","","","","","0.0","","6.4","","6.4","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-10","1953","01","10","","-16.7","","","","","","","","","","0.0","","8.4","","8.4","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-11","1953","01","11","","-21.1","","","","","","","","","","0.0","","0.0","T","0.0","T","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-12","1953","01","12","","-25.6","","","","","","","","","","0.0","","2.5","","2.5","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-13","1953","01","13","","-27.2","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-14","1953","01","14","","-32.2","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-15","1953","01","15","","-21.1","","","","","","","","","","0.0","","11.9","","11.9","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-16","1953","01","16","","-18.9","","","","","","","","","","0.0","","3.8","","3.8","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-17","1953","01","17","","-14.4","","","","","","","","","","0.0","","0.0","T","0.0","T","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-18","1953","01","18","","-8.9","","","","","","","","","","0.0","","2.0","","2.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-19","1953","01","19","","-6.7","","","","","","","","","","0.0","","0.5","","0.5","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-20","1953","01","20","","-12.2","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-21","1953","01","21","","-8.9","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-22","1953","01","22","","-1.7","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-23","1953","01","23","","-7.2","","","","","","","","","","0.0","","0.8","","0.8","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-24","1953","01","24","","-1.1","","","","","","","","","","0.0","","14.0","","14.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-25","1953","01","25","","-8.3","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-26","1953","01","26","","-16.1","","","","","","","","","","0.0","","3.8","","3.8","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-27","1953","01","27","","-12.2","","","","","","","","","","0.0","","0.0","T","0.0","T","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-28","1953","01","28","","-11.1","","","","","","","","","","0.0","","12.7","","12.7","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-29","1953","01","29","","-4.4","","","","","","","","","","0.0","","2.5","","2.5","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-30","1953","01","30","","-8.9","","","","","","","","","","0.0","","6.4","","6.4","","","","","","",""
"-124.29","54.46","FORT ST JAMES","1092970","1953-01-31","1953","01","31","","-7.2","","","","","","","","","","0.0","","3.8","","3.8","","","","","","",""
