Station, Fav, StationName, HydStatus, Prov, Latitude(Degrees), Longitude(Degrees), DrainageArea(km≤), Years, From, To, Reg., Flow, Level, Sed, OperSched, RealTime, RHBN, Region, Datum, Operator
01AA002, , DAAQUAM (RIVIERE) EN AVAL DE LA RIVIERE SHIDGEL, Discontinued, QC,46.5575,-70.0811,598,11,1967,1977, , True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01AD001, , MADAWASKA (RIVIERE) A 6 KM EN AVAL DU BARRAGE TEMISCOUATA, Discontinued, QC,47.5483,-68.6364,2690,80,1918,1997, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01AD002, , SAINT JOHN RIVER AT FORT KENT, Active, ME,47.2581,-68.5958,14700,93,1926,2018, , True, , , Continuous, , True, DARTMOUTH, INTERNATIONAL BOUNDARY COMMISSION DATUM, UNITED STATES GEOLOGICAL SURVEY
01AD003, , ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE, Active, NB,47.2066,-68.9569,1350,68,1951,2018, , True, True, , Continuous, True, True, DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AD004, , SAINT JOHN RIVER AT EDMUNDSTON, Active, NB,47.3608,-68.3249,15500,35,1968,2019, , True, True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AD005, , MADAWASKA (RIVIERE) AU RESERVOIR TEMISCOUATA, Discontinued, QC,47.5706,-68.6431,2590,9,1966,1974, True, , True, , Continuous, , , QUEBEC CITY, ARBITRAIRE, QUEBEC HYDRO-ELECTRIC COMMISSION
01AD008, , LONG (LAC) PRES DE LES ETROITS, Discontinued, QC,47.3908,-68.8983,108,3,1972,1974, , , True, , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01AD009, , CABANO (RIVIERE) AU LAC LONG, Discontinued, QC,47.4644,-69.0019,172,10,1973,1982, , , True, , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01AD012, , SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS, Discontinued, QC,47.7247,-69.2833,58.6,2,1967,1968, , True, , , Seasonal, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01AD013, , SAINT-FRANCOIS (RIVIERE) EN AVAL DU LAC SAINT-FRANCOIS, Discontinued, QC,47.7192,-69.2839,59.8,4,1969,1972, , True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01AD014, , POHENEGAMOOK (LAC) A ESTCOURT, Discontinued, QC,47.46,-69.2256,389,15,1968,1982, , , True, , Seasonal, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01AD015, , MADAWASKA (RIVIERE) A 6 KM EN AVAL DU BARRAGE TEMISCOUATA, Active, QC,47.5385,-68.5918,2712,4,2004,2007, , True, , , Continuous, True, , QUEBEC CITY, , MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01AE001, , FISH RIVER NEAR FORT KENT, Active, ME,47.2375,-68.5828,2260,37,1981,2018, , True, , , Continuous, , , DARTMOUTH, INTERNATIONAL BOUNDARY COMMISSION DATUM, UNITED STATES GEOLOGICAL SURVEY
01AF002, , SAINT JOHN RIVER AT GRAND FALLS, Active, NB,47.0389,-67.7397,21900,90,1930,2019, True, True, True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AF003, , GREEN RIVER NEAR RIVIERE-VERTE, Discontinued, NB,47.335,-68.135,1150,32,1962,1993, True, True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AF006, , BLACK BROOK NEAR ST-ANDRE-DE-MADAWASKA, Discontinued, NB,47.0914,-67.7314,14.2,4,1971,1974, , True, , True, Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AF007, , GRANDE RIVIERE AT VIOLETTE BRIDGE, Active, NB,47.247,-67.9213,339,42,1977,2018, , True, True, True, Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AF008, , SAINT JOHN RIVER AT THE FALLS AT GRAND FALLS, Discontinued, NB,47.0514,-67.7386, ,3,1986,1988, True, , True, , Seasonal, , , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, 
01AF009, , IROQUOIS RIVER AT MOULIN MORNEAULT, Active, NB,47.4578,-68.3568,182,28,1991,2018, , True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AF010, , GREEN RIVER AT DEUXIEME SAULT, Discontinued, NB,47.4706,-68.2356,1030,16,1995,2010, True, True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, CITY OF EDMUNSTON
01AF011, , LITTLE RIVER NEAR GRAND FALLS, Discontinued, NB,47.0719,-67.7078,380,3,1996,1998, , True, , , Seasonal, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AG002, , LIMESTONE STREAM AT FOUR FALLS, Discontinued, NB,46.8283,-67.7431,199,27,1967,1993, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AG003, , AROOSTOOK RIVER NEAR TINKER, Active, NB,46.8164,-67.752,6060,44,1975,2018, True, True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AH001, , TOBIQUE RIVER AT ARTHURETTE, Discontinued, NB,46.7967,-67.4814,4140,16,1918,1933, , True, , , Continuous, , , DARTMOUTH, , 
01AH002, , TOBIQUE RIVER AT RILEY BROOK, Active, NB,47.173,-67.2108,2230,66,1954,2019, True, True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AH003, , TOBIQUE RIVER AT PLASTER ROCK, Discontinued, NB,46.905,-67.395,3130,40,1954,1995, True, True, True, , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AH004, , TOBIQUE RIVER AT NARROWS, Discontinued, NB,46.7917,-67.6833,4330,47,1953,1999, True, True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, NEW BRUNSWICK ELECTRIC POWER COMMISSION
01AH005, , MAMOZEKEL RIVER NEAR CAMPBELL RIVER, Discontinued, NB,47.2508,-67.1422,230,19,1972,1990, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AJ001, , SAINT JOHN RIVER NEAR EAST FLORENCEVILLE, Discontinued, NB,46.47,-67.5897,34200,45,1951,1995, True, True, , , Continuous, , , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AJ002, , SAINT JOHN RIVER AT WOODSTOCK, Discontinued, NB,46.1564,-67.5736, ,6,1962,1967, True, , True, , Seasonal, , , DARTMOUTH, ASSUMED DATUM, NEW BRUNSWICK ELECTRIC POWER COMMISSION
01AJ003, , MEDUXNEKEAG RIVER NEAR BELLEVILLE, Active, NB,46.2162,-67.7279,1210,52,1967,2018, , True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AJ004, , BIG PRESQUE ISLE STREAM AT TRACEY MILLS, Active, NB,46.4384,-67.7384,484,52,1967,2018, , True, True, , Continuous, True, True, DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AJ005, , SAINT JOHN RIVER AT HARTLAND, Discontinued, NB,46.3061,-67.5325, ,11,1969,1979, True, , True, , Continuous, , , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, 
01AJ006, , HOLMES BROOK AT MOOSE MOUNTAIN, Discontinued, NB,46.6128,-67.6106,7.77,4,1971,1974, , True, , True, Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AJ007, , HOLMES BROOK NEAR HOLMESVILLE, Discontinued, NB,46.5761,-67.5953,31.3,9,1971,1979, , True, , True, Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AJ008, , SAINT JOHN RIVER AT HARTLAND SALMON POOL, Discontinued, NB,46.2983,-67.5292, ,21,1973,1993, True, , True, , Continuous, , , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AJ009, , SAINT JOHN RIVER AT SIMONDS, Discontinued, NB,46.3375,-67.5553,35000,16,1974,1995, True, True, True, , Continuous, , , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AJ010, , BECAGUIMEC STREAM AT COLDSTREAM, Active, NB,46.3409,-67.4651,350,46,1973,2018, , True, True, True, Continuous, True, True, DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AJ011, , COLD STREAM AT COLDSTREAM, Discontinued, NB,46.3422,-67.4692,156,21,1973,1993, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AJ012, , SAINT JOHN RIVER AT BEECHWOOD GENERATING STATION, Discontinued, NB,46.54,-67.6711,33700,5,1995,1999, True, True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, NEW BRUNSWICK ELECTRIC POWER COMMISSION
01AJ013, , LITTLE PRESQUE ISLE STREAM NEAR WATERVILLE, Discontinued, NB,46.2722,-67.57,130,3,1996,1998, , True, , , Seasonal, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK001, , SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY, Active, NB,45.9435,-67.3204,234,100,1918,2018, , True, True, , Continuous, True, True, DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK002, , SAINT JOHN RIVER AT POKIOK, Discontinued, NB,45.9667,-67.2417,38900,50,1918,1967, True, True, , , Continuous, , , DARTMOUTH, , 
01AK003, , SAINT JOHN RIVER AT FREDERICTON, Active, NB,45.9662,-66.6516, ,90,1929,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK004, , SAINT JOHN RIVER BELOW MACTAQUAC, Discontinued, NB,45.9622,-66.8308,39900,30,1961,1995, True, True, True, True, Continuous, , , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK005, , MIDDLE BRANCH NASHWAAKSIS STREAM NEAR ROYAL ROAD, Discontinued, NB,46.035,-66.7014,26.9,29,1965,1993, , True, , True, Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK006, , MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM, Active, NB,46.0828,-66.733,5.7,53,1966,2018, , True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK007, , NACKAWIC STREAM NEAR TEMPERANCE VALE, Active, NB,46.0488,-67.2396,240,52,1967,2018, , True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK008, , EEL RIVER NEAR SCOTT SIDING, Discontinued, NB,45.9367,-67.5469,531,20,1974,1993, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK009, , SAINT JOHN RIVER AT MACTAQUAC GENERATING STATION, Discontinued, NB,45.9567,-66.8647, ,14,1980,1993, True, , True, , Continuous, , , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AK010, , SAINT JOHN RIVER AT MACTAQUAC GENERATING STATION, Discontinued, NB,45.9567,-66.8647,39900,5,1995,1999, True, True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, NEW BRUNSWICK ELECTRIC POWER COMMISSION
01AL001, , NASHWAAK RIVER AT PENNIAC, Discontinued, NB,46.0092,-66.5831,1660,2,1918,1919, , True, , , Seasonal, , , DARTMOUTH, ASSUMED DATUM, NEW BRUNSWICK DEPARTMENT OF THE ENVIRONMENT
01AL002, , NASHWAAK RIVER AT DURHAM BRIDGE, Active, NB,46.1259,-66.6113,1450,57,1962,2018, , True, True, True, Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AL003, , HAYDEN BROOK NEAR NARROWS MOUNTAIN, Discontinued, NB,46.2989,-67.0369,6.48,24,1970,1993, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AL004, , NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN, Active, NB,46.2772,-67.0214,3.89,47,1972,2018, , True, True, True, Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AL005, , NARROWS MOUNTAIN BROOK  BRANCH NO.1  NEAR NARROWS MOUNTAIN, Discontinued, NB,46.2769,-67.0436,0.8,5,1975,1980, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AL006, , NARROWS MOUNTAIN BROOK  BRANCH NO.2  NEAR NARROWS MOUNTAIN, Discontinued, NB,46.2769,-67.0433,0.91,5,1975,1980, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AL007, , NARROWS MOUNTAIN BROOK  BRANCH NO.3  NEAR NARROWS MOUNTAIN, Discontinued, NB,46.2794,-67.0364,0.41,4,1977,1980, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AL008, , NASHWAAK RIVER AT STANLEY, Discontinued, NB,46.2831,-66.7375,641,12,1982,1995, , True, True, , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AM001, , NORTH BRANCH OROMOCTO RIVER AT TRACY, Active, NB,45.6738,-66.6829,557,57,1962,2018, , True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AN001, , CASTAWAY STREAM NEAR CASTAWAY, Discontinued, NB,46.2983,-65.7119,34.4,22,1972,1993, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AN002, , SALMON RIVER AT CASTAWAY, Active, NB,46.2907,-65.7227,1050,45,1974,2018, , True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AO001, , SAINT JOHN RIVER AT OROMOCTO, Discontinued, NB,45.8556,-66.4722, ,32,1918,1949, , , True, , Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AO002, , SAINT JOHN RIVER AT MAUGERVILLE, Active, NB,45.8665,-66.4532, ,54,1965,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AO003, , GRAND LAKE AT NEWCASTLE CREEK, Active, NB,46.0564,-66.0057, ,54,1965,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AO004, , JEMSEG RIVER AT JEMSEG, Active, NB,45.8289,-66.1154, ,53,1966,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AO009, , BURPEE MILLSTREAM NEAR FERNMOUNT, Discontinued, NB,45.9567,-66.3114,93.2,18,1976,1993, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
