"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-01","2014","01","01","","2.7","","0.3","","1.5","","16.5","","0.0","","","M","","M","0.0","","4","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-02","2014","01","02","","1.3","","0.3","","0.8","","17.2","","0.0","","","M","","M","20.0","","4","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-03","2014","01","03","","1.3","","-2.9","","-0.8","","18.8","","0.0","","","M","","M","0.0","","4","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-04","2014","01","04","","-2.9","","-8.2","","-5.6","","23.6","","0.0","","","M","","M","0.0","","3","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-05","2014","01","05","","-3.8","","-8.6","","-6.2","","24.2","","0.0","","","M","","M","0.0","","3","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-06","2014","01","06","","-2.0","","-8.4","","-5.2","","23.2","","0.0","","","M","","M","0.0","","2","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-07","2014","01","07","","0.0","","-6.1","","-3.1","","21.1","","0.0","","","M","","M","1.5","","4","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-08","2014","01","08","","1.0","","-1.1","","-0.1","","18.1","","0.0","","","M","","M","","M","3","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-09","2014","01","09","","1.4","","-0.2","","0.6","","17.4","","0.0","","","M","","M","6.5","","5","","","M","","M"
"-122.73","50.31","PEMBERTON AIRPORT CS","1086082","2014-01-10","2014","01","10","","2.0","","0.1","","1.1","","16.9","","0.0","","","M","","M","8.4","","5","","","M","","M"
