,,"Note 1: RHBN-N = 1, RHBN-U = 0","Note 2: Q=flow gauge, H=level gauge","Note 3: Yield is the annual average depth of water, in mm, that exits the watershed via the streamgauge location. Also called 'runoff depth'.","Note 4: Official names for the Commission for Environmental Cooperation Terrestrial Ecoregions Level I. Common names are as follows: Northwestern Forested Mountains = Rockies, Northern Forests = Boreal, Great Plains = Prairies.","Note 5: Whether the station met the minimum of 20 years with C = continuous, or full year, data, or with S = seasonal data.",Note 6: Years with less than 5% missing daily data.,Note 6: Years with less than 5% missing daily data.,Note 7: Overal watershed quality where 1 is the most desirable.,Note 8: Percent of the watershed covered by either urban or agricultural land.,,Note 9: Road density as km of roads for each km^2 of watershed.,"Note 10: Canadian population density. ""US"" denotes stations that have watershed areas outside of Canada.",Note 11: Flow structures include small dams/berms/farm ponds in Canada and the US.,Note 12: Percentage of watershed covered by reservoir area associated with Flow.Structures.,Note 13: Presence and name of dam within the Global Reservoir and Dam database (GRanD).
,,"Note 1: RBHR-N = 1, RBHR-D = 0","Note 2: Q=débits, H=niveau d'eau",Note 3: Apport en eau = débit annuel moyen exprimé en profondeur d’eau sur le bassin versant,"Note 4:  Noms officiels en anglais de la ""Commission for Environmental Cooperation Terrestrial Ecoregions Level I"". Les noms communs sont comme suit: Northwestern Forested Mountains = les Rocheuses, Northern Forests = Boréale, Great Plains = Prairies.","Note 5: Si la station a répondu au minimum de 20 ans de donnée avec C = uniquement les années complètes, ou, S = en incluant les années saisonnières.","Note 6: Années qui répondent au mesure d'exhaustivité, soit moins que 5% des données quotidiennes manquantes.","Note 6: Années qui répondent au mesure d'exhaustivité, soit moins que 5% des données quotidiennes manquantes.","Note 7: Qualité du bassin versant globale ou ""1"" est le plus désirable.",Note 8: Pourcentage du bassin versant recouvert par les terres agricoles ou urbaines.,,Note 9: Densité de route utilise l'unité km de route par km^2 de bassin versant.,"Note 10: Densité de population canadienne. Les stations avec une grande partie de leur bassin versant dans les États-Unis sont désignées ""US"".",Note 11: Petits structures incluent les petits barrages/bermes/étangs de ferme dans le Canada et les États-Unis.,Note 12: Pourcentage du bassin versant recouvert par les plan d'eau associés aux Petits.Structures.,Note 13: Présence et nom du barrage dans la base de données Global Reservoir and Dam database (GRanD).
STATION_NUMBER,Evaluation_Year,RHBN-N,DATA_TYPE,Yield,Ecoregion,Data.Quality,Years.C,Years.S,Watershed.Quality,Percent_Human.Impact,Percent.Urban,Road.Density,Pop.Density,Flow.Structures,Reservoir.Pct,GRanD
Numéro de la station,Année_dÉvaluation,RBHR-N,TYPE_DE_DONNÉE,Apport.en.eau,Écorégion,Qualité.des. Données,Années.C,Années.S,Qualité.bassins.versants,Pourcentage_Impact.Humain,Pourcentage.Urbaine,Densité.routes,Densité.population,Petits.Structures,Pourcentage.réservoir,GRanD
01AD002,2020,1,Q,600,Northern Forests,C,88,,2,0.34,0.032,0.14,71,72,0.17,Lock Dam
01AD003,2020,1,Q,590,Northern Forests,C,65,,2,0.027,0,0,71,18,0.68,
01AE001,2020,0,Q,620,Eastern Temperate Forests,C,34,,1,1.9,0.036,0,71,1,0,
01AF007,2020,0,Q,710,Eastern Temperate Forests,C,40,,1,0.07,0,0.24,2,0,0,
01AF009,2020,0,Q,680,Eastern Temperate Forests,C,26,,1,0,0,0.4,23,1,0.015,
01AJ003,2020,0,Q,680,Eastern Temperate Forests,C,49,,2,7.2,0.45,0,71,6,0.45,
01AJ004,2020,1,Q,650,Eastern Temperate Forests,C,49,,4,26,0,0,71,8,0.11,
