"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.51","49.47","PRINCETON A","1126510","1994-01-01","1994","01","01","","0.0","","-4.3","","-2.2","","20.2","","0.0","","0.0","","0.2","","0.0","T","2","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-02","1994","01","02","","0.0","","-2.7","","-1.4","","19.4","","0.0","","0.6","","2.0","","2.4","","2","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-03","1994","01","03","","-0.6","","-4.8","","-2.7","","20.7","","0.0","","0.0","","7.8","","7.2","","3","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-04","1994","01","04","","3.4","","-1.7","","0.9","","17.1","","0.0","","0.0","T","0.0","T","0.0","T","11","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-05","1994","01","05","","0.6","","-3.7","","-1.6","","19.6","","0.0","","0.0","","17.6","","13.8","","11","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-06","1994","01","06","","-2.5","","-4.6","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-07","1994","01","07","","-4.0","","-5.0","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-08","1994","01","08","","-1.7","","-7.0","","-4.4","","22.4","","0.0","","0.0","","2.0","","1.0","","27","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-09","1994","01","09","","1.0","","-3.6","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-10","1994","01","10","","2.5","","-3.2","","-0.4","","18.4","","0.0","","0.0","","0.0","T","0.0","T","21","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-11","1994","01","11","","1.4","","-2.6","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-12","1994","01","12","","2.0","","-1.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-13","1994","01","13","","2.8","","-1.8","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-14","1994","01","14","","0.1","","-1.5","","-0.7","","18.7","","0.0","","0.0","","0.0","T","0.0","T","17","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-15","1994","01","15","","6.2","","-1.3","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-16","1994","01","16","","6.6","","-1.6","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-17","1994","01","17","","3.5","","1.5","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-18","1994","01","18","","4.2","","-2.7","","0.8","","17.2","","0.0","","0.0","T","0.0","","0.0","T","13","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-19","1994","01","19","","8.3","","-1.2","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","13","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-20","1994","01","20","","1.3","","-4.6","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-21","1994","01","21","","2.5","","-1.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-22","1994","01","22","","3.5","","-3.3","","0.1","","17.9","","0.0","","1.4","","0.0","","1.4","","12","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-23","1994","01","23","","2.7","","-1.6","","0.6","","17.4","","0.0","","1.0","","0.0","","1.0","","12","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-24","1994","01","24","","4.9","","0.0","","2.5","","15.5","","0.0","","0.4","","0.0","T","0.4","","12","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-25","1994","01","25","","3.7","","0.4","","2.1","","15.9","","0.0","","1.0","","0.8","","1.6","","11","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-26","1994","01","26","","3.3","","0.0","","1.7","","16.3","","0.0","","0.0","","0.0","T","0.0","T","11","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-27","1994","01","27","","1.2","","-3.0","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-28","1994","01","28","","4.6","","-7.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-29","1994","01","29","","3.2","","-3.8","","-0.3","","18.3","","0.0","","1.8","","0.0","","1.8","","10","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-30","1994","01","30","","5.0","","-6.6","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-01-31","1994","01","31","","3.7","","-12.0","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-02-01","1994","02","01","","1.5","","-12.2","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-02-02","1994","02","02","","0.0","","-9.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-02-03","1994","02","03","","0.0","","-9.6","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-02-04","1994","02","04","","0.0","","-10.8","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-02-05","1994","02","05","","1.0","","-12.2","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-120.51","49.47","PRINCETON A","1126510","1994-02-06","1994","02","06","","-2.9","","-12.0","","-7.5","","25.5","","0.0","","0.0","","1.0","","1.0","","8","","","","",""
